OBJECTID,Point,N,E,Elevation,Code,Site,SurveyID
1,50100,1266614.79,2804615.81,7455.83,PITRCK,Riffle 2A,Deploy 2023
2,50101,1266609.34,2804617.26,7455.74,PITRCK,Riffle 2A,Deploy 2023
3,50102,1266602.91,2804617.95,7455.54,PITRCK,Riffle 2A,Deploy 2023
4,50103,1266598.01,2804618.51,7455.09,PITRCK,Riffle 2A,Deploy 2023
5,50104,1266591.65,2804619.51,7454.64,PITRCK,Riffle 2A,Deploy 2023
6,50105,1266584.92,2804621.51,7455.2,PITRCK,Riffle 2A,Deploy 2023
7,50106,1266578.55,2804623.15,7455.31,PITRCK,Riffle 2A,Deploy 2023
8,50107,1266573.83,2804624.07,7455.6,PITRCK,Riffle 2A,Deploy 2023
9,50108,1266569.85,2804624.69,7455.54,PITRCK,Riffle 2A,Deploy 2023
10,50109,1266564.67,2804625.77,7455.93,PITRCK,Riffle 2A,Deploy 2023
11,50110,1266560.01,2804626.16,7455.92,PITRCK,Riffle 2A,Deploy 2023
12,50111,1266555.15,2804626.52,7456.49,PITRCK,Riffle 2A,Deploy 2023
13,50112,1266552.47,2804604.72,7456.23,PITRCK,Riffle 2A,Deploy 2023
14,50113,1266557.22,2804604.37,7455.55,PITRCK,Riffle 2A,Deploy 2023
15,50114,1266563.61,2804603.77,7455.54,PITRCK,Riffle 2A,Deploy 2023
16,50115,1266569.19,2804602.82,7455.35,PITRCK,Riffle 2A,Deploy 2023
17,50116,1266574.9,2804602.25,7455.54,PITRCK,Riffle 2A,Deploy 2023
18,50117,1266580.29,2804601.48,7454.93,PITRCK,Riffle 2A,Deploy 2023
19,50118,1266587.08,2804600.27,7454.81,PITRCK,Riffle 2A,Deploy 2023
20,50119,1266592.37,2804599,7454.79,PITRCK,Riffle 2A,Deploy 2023
21,50120,1266597.2,2804598.21,7455.04,PITRCK,Riffle 2A,Deploy 2023
22,50121,1266601.58,2804597.83,7455.13,PITRCK,Riffle 2A,Deploy 2023
23,50122,1266604.95,2804597.21,7455.19,PITRCK,Riffle 2A,Deploy 2023
24,50123,1266609.61,2804596.07,7455.35,PITRCK,Riffle 2A,Deploy 2023
25,50124,1266614.43,2804594.96,7455.66,PITRCK,Riffle 2A,Deploy 2023
26,50125,1266612.26,2804573.56,7455.91,PITRCK,Riffle 2A,Deploy 2023
27,50126,1266606.85,2804574.03,7454.94,PITRCK,Riffle 2A,Deploy 2023
