OBJECTID,Point,N,E,Elevation,Code,TIN_2018
1,50350,1266609.192999999970198,2803479.887000000104308,7453.003999999999905,PITRCK,
2,50351,1266606.175000000046566,2803479.899999999906868,7453.215000000000146,PITRCK,
3,50352,1266603.152999999932945,2803480.191000000108033,7453.207999999999629,PITRCK,
4,50353,1266599.996999999973923,2803480.478000000119209,7453.154999999999745,PITRCK,
5,50354,1266399.297999999951571,2803095.672999999951571,7452.146999999999935,PITRCK,
6,50355,1266401.527999999932945,2803094.041999999899417,7452.014000000000124,PITRCK,
7,50356,1266403.631000000052154,2803092.271000000182539,7452.127000000000407,PITRCK,
8,50357,1266405.860000000102445,2803089.973000000230968,7452.298999999999978,PITRCK,
9,50358,1266444.442000000039116,2803055.915000000037253,7451.743000000000393,PITRCK,
10,50359,1266442.137000000104308,2803057.132999999914318,7452.027000000000044,PITRCK,
11,50360,1266440.075999999884516,2803058.308000000193715,7452.010000000000218,PITRCK,
12,50361,1266438.189000000013039,2803060.018999999854714,7451.972999999999956,PITRCK,
13,50362,1266090.975000000093132,2802584.549999999813735,7450.252000000000407,PITRCK,
14,50363,1266087.861000000033528,2802585.424999999813735,7450.368000000000393,PITRCK,
15,50364,1266085.449000000022352,2802586.962999999988824,7450.257999999999811,PITRCK,
16,50365,1266083.794999999925494,2802589.175999999977648,7449.962999999999738,PITRCK,
17,50366,1266166.871000000042841,2802598.845999999903142,7450.631999999999607,PITRCK,
18,50367,1266168.953999999910593,2802597.350000000093132,7450.792000000000371,PITRCK,
19,50368,1266172.462000000057742,2802596.050999999977648,7450.020999999999731,PITRCK,
20,50369,1265898.902000000001863,2802179.891999999992549,7448.176999999999680,PITRCK,
21,50370,1265902.044999999925494,2802179.106999999843538,7448.248999999999796,PITRCK,
22,50371,1265904.568999999901280,2802177.651999999769032,7448.636000000000422,PITRCK,
23,50372,1265907.722999999998137,2802176.007999999914318,7448.627000000000407,PITRCK,
