OBJECTID,Point,E,N,Elevation,Code,SurveyID
1,50700,2806340.14,1266540.5,7460.45,PITRCK,Relocate 2024
2,50701,2806340.1,1266546.66,7458.86,PITRCK,Relocate 2024
3,50702,2806337.52,1266553.09,7458.36,PITRCK,Relocate 2024
4,50703,2806064.46,1266520.04,7456.99,PITRCK,Relocate 2024
5,50705,2806331.51,1266566.22,7459.22,PITRCK,Relocate 2024
6,50707,2806333.54,1266578.16,7459.8,PITRCK,Relocate 2024
7,50708,2806329.1,1266581.43,7459.04,PITRCK,Relocate 2024
8,50709,2806313.68,1266585.8,7458.57,PITRCK,Relocate 2024
9,50710,2806334.9,1266594.6,7459.32,PITRCK,Relocate 2024
10,50711,2805607.38,1266527.71,7458.55,PITRCK,Relocate 2024
11,50712,2806332.46,1266607.76,7459.04,PITRCK,Relocate 2024
12,50713,2806326.64,1266611.82,7459.19,PITRCK,Relocate 2024
13,50714,2806330.48,1266620.69,7459.88,PITRCK,Relocate 2024
14,50716,2806208.9,1266599.19,7457.99,PITRCK,Relocate 2024
15,50717,2806267.42,1266622.44,7458.23,PITRCK,Relocate 2024
16,50718,2806329.19,1266654.05,7459.41,PITRCK,Relocate 2024
17,50720,2806314.04,1266538.66,7459.67,PITRCK,Relocate 2024
18,50721,2805553.36,1266496.74,7456.78,PITRCK,Relocate 2024
19,50722,2806307.53,1266549.88,7458.41,PITRCK,Relocate 2024
20,50723,2806120.47,1266531.2,7456.95,PITRCK,Relocate 2024
21,50724,2806309.05,1266556.83,7458.58,PITRCK,Relocate 2024
22,50728,2806304.34,1266592.52,7459.04,PITRCK,Relocate 2024
23,50729,2806311.78,1266599.72,7459.97,PITRCK,Relocate 2024
24,50731,2806271.74,1266620.93,7458.64,PITRCK,Relocate 2024
25,50733,2806304.17,1266626.23,7458.76,PITRCK,Relocate 2024
26,50734,2806259.68,1266616.59,7458.54,PITRCK,Relocate 2024
27,50736,2806293.14,1266643.03,7457.92,PITRCK,Relocate 2024
28,50737,2806303.72,1266653.4,7458.99,PITRCK,Relocate 2024
29,50738,2806300.46,1266660.13,7459.17,PITRCK,Relocate 2024
30,50739,2806108.23,1266588.92,7457.35,PITRCK,Relocate 2024
31,50740,2806299.79,1266541.68,7459.03,PITRCK,Relocate 2024
32,50741,2806214.34,1266536.21,7458.04,PITRCK,Relocate 2024
33,50743,2806297.48,1266560.38,7458.35,PITRCK,Relocate 2024
34,50744,2806285.99,1266569.03,7458.81,PITRCK,Relocate 2024
35,50746,2806293.35,1266584.56,7458.78,PITRCK,Relocate 2024
36,50747,2806293.32,1266594.05,7458.46,PITRCK,Relocate 2024
37,50748,2806286.34,1266599.03,7458.64,PITRCK,Relocate 2024
38,50749,2806210.43,1266582.81,7457.87,PITRCK,Relocate 2024
39,50750,2806289.87,1266613.28,7459.05,PITRCK,Relocate 2024
40,50751,2806289.29,1266621.85,7458.29,PITRCK,Relocate 2024
41,50752,2806136.2,1266595.64,7457.81,PITRCK,Relocate 2024
42,50753,2806264.56,1266618.6,7458.06,PITRCK,Relocate 2024
43,50754,2806283.03,1266635.4,7458.31,PITRCK,Relocate 2024
44,50755,2806288.38,1266646.22,7458.26,PITRCK,Relocate 2024
45,50756,2806287.53,1266650.05,7458.5,PITRCK,Relocate 2024
46,50757,2806288.46,1266654.98,7458.76,PITRCK,Relocate 2024
