OBJECTID,Point,N,E,Elevation,Code,SurveyID
1,51000,1266599.85,2808424.05,7466.83,PITRCK,Deploy 2024_10
2,51001,1266591.78,2808426.36,7466.51,PITRCK,Deploy 2024_10
3,51002,1266584.62,2808426.44,7465.59,PITRCK,Deploy 2024_10
4,51003,1266578.56,2808426.36,7466.43,PITRCK,Deploy 2024_10
5,51004,1266573.47,2808427.64,7465.77,PITRCK,Deploy 2024_10
6,51005,1266568.56,2808428.22,7466.08,PITRCK,Deploy 2024_10
7,51006,1266563.02,2808430.14,7465.86,PITRCK,Deploy 2024_10
8,51007,1266557.99,2808432.01,7466.1,PITRCK,Deploy 2024_10
9,51008,1266552.84,2808432.91,7466.24,PITRCK,Deploy 2024_10
10,51009,1266546.87,2808434.44,7466.1,PITRCK,Deploy 2024_10
11,51010,1266542.87,2808434.86,7466.2,PITRCK,Deploy 2024_10
12,51011,1266538.9,2808435.44,7465.83,PITRCK,Deploy 2024_10
13,51012,1266533.91,2808435.86,7466.34,PITRCK,Deploy 2024_10
14,51013,1266529.15,2808436.49,7466.25,PITRCK,Deploy 2024_10
15,51014,1266524.91,2808436.86,7466.75,PITRCK,Deploy 2024_10
16,51015,1266519.66,2808437.24,7466.71,PITRCK,Deploy 2024_10
17,51016,1266514.27,2808437.8,7467.01,PITRCK,Deploy 2024_10
18,51017,1266508.56,2808438.12,7467.33,PITRCK,Deploy 2024_10
19,51018,1266501.89,2808436.79,7467.35,PITRCK,Deploy 2024_10
20,51019,1266495.87,2808436.59,7467.62,PITRCK,Deploy 2024_10
21,51020,1266498.71,2808416.51,7467.38,PITRCK,Deploy 2024_10
22,51021,1266504.47,2808416.39,7467.42,PITRCK,Deploy 2024_10
23,51022,1266510.7,2808416.21,7466.99,PITRCK,Deploy 2024_10
24,51023,1266515.69,2808415.82,7466.83,PITRCK,Deploy 2024_10
25,51024,1266522.55,2808416.08,7466.3,PITRCK,Deploy 2024_10
26,51025,1266528.26,2808415.6,7466.35,PITRCK,Deploy 2024_10
27,51026,1266535.28,2808414.97,7465.79,PITRCK,Deploy 2024_10
