"","Point","E","N","Elevation","Code","SurveyID","Year","Period","TagID","RiffleID","Site","TagSize_mm","A_Axis_mm","B_Axis_mm","B_Axis_ft","C_Axis_mm","Gravelometer_mm","Weight_g","Particle_Class","Size_Class","Size_Class2","Distance_ft","Distance_m","Field_Movement","Moved_1PD","Moved_2PD","Hiding","Embedded","Buried","Notes"
"1",400,2806338.34,1266549.06,7459.52,"PITRCK","Relocate 2019",2019,"Before",230000111558,"1","Riffle 1",32,145,118,0.38713912,52,"128",1424,"Cobble","SC2","SC",0.01,0.003048,0,0,0,0,0,0,""
"2",401,2806337.88,1266558.05,7458.87,"PITRCK","Relocate 2019",2019,"Before",230000111677,"1","Riffle 1",32,90,78,0.25590552,69,"90",608,"Cobble","SC1","SC",0.18,0.054864,0,0,0,0,0,0,""
"3",402,2806338.05,1266564.81,7459.05,"PITRCK","Relocate 2019",2019,"Before",230000111624,"1","Riffle 1",32,157,152,0.49868768,82,"180",2584,"Cobble","LC1","LC",0.06,0.018288,0,0,0,0,0,0,""
"4",403,2806337.08,1266571.83,7459.04,"PITRCK","Relocate 2019",2019,"Before",228000607573,"1","Riffle 1",23,102,61,0.20013124,48,"64",550,"Gravel","VCG2","VCG",0.11,0.033528,0,0,0,0,0,0,""
"5",404,2806336.24,1266579.77,7459.58,"PITRCK","Relocate 2019",2019,"Before",230000111731,"1","Riffle 1",32,145,98,0.32152232,56,"128",1335,"Cobble","SC2","SC",0.18,0.054864,0,0,0,0,0,0,""
"6",405,2806334.77,1266585.19,7459.55,"PITRCK","Relocate 2019",2019,"Before",230000111736,"1","Riffle 1",32,155,109,0.35761156,66,"128",1789,"Cobble","SC2","SC",0.05,0.01524,0,0,0,0,0,0,""
"7",406,2806326.14,1266592.08,7459.28,"PITRCK","Relocate 2019",2019,"Before",230000111684,"1","Riffle 1",32,198,117,0.38385828,64,"128",2248,"Cobble","SC2","SC",7.61,2.319528,1,1,1,0,0,0,""
"8",407,2806332.62,1266599.27,7459.46,"PITRCK","Relocate 2019",2019,"Before",230000111541,"1","Riffle 1",32,356,290,0.9514436,138,">256",14100,"Boulder","SB1","SB",0.2,0.06096,0,0,0,0,0,0,""
"9",408,2806323.07,1266602.59,7459.24,"PITRCK","Relocate 2019",2019,"Before",228000607534,"1","Riffle 1",23,70,63,0.20669292,55,"64",654,"Gravel","VCG2","VCG",10.43,3.179064,1,1,1,0,0,0,""
"10",409,2806333.37,1266613.97,7459.08,"PITRCK","Relocate 2019",2019,"Before",228000607505,"1","Riffle 1",23,94,61,0.20013124,41,"64",336,"Gravel","VCG2","VCG",0.23,0.070104,0,1,0,0,0,0,""
"11",410,2806330.91,1266617.72,7459.01,"PITRCK","Relocate 2019",2019,"Before",230000111683,"1","Riffle 1",32,132,90,0.2952756,80,"128",1427,"Cobble","SC2","SC",2.75,0.8382,1,1,1,0,0,0,""
"12",411,2806334.26,1266624.38,7459.21,"PITRCK","Relocate 2019",2019,"Before",230000111737,"1","Riffle 1",32,169,138,0.45275592,82,"128",2929,"Cobble","SC2","SC",0.36,0.109728,0,0,0,0,0,0,""
"13",412,2806334.6,1266629.76,7458.81,"PITRCK","Relocate 2019",2019,"Before",230000111641,"1","Riffle 1",32,124,104,0.34120736,56,"90",1093,"Cobble","SC1","SC",0.24,0.073152,0,0,0,0,0,0,""
"14",413,2806333.71,1266635.53,7458.73,"PITRCK","Relocate 2019",2019,"Before",228000607513,"1","Riffle 1",23,91,60,0.1968504,38,"64",273,"Gravel","VCG2","VCG",0.39,0.118872,0,1,0,0,0,0,""
"15",414,2806334.37,1266640.69,7459.05,"PITRCK","Relocate 2019",2019,"Before",230000111644,"1","Riffle 1",32,135,93,0.30511812,72,"90",1442,"Cobble","SC1","SC",0.97,0.295656,0,1,1,0,0,0,""
"16",415,2806331.49,1266645.07,7458.87,"PITRCK","Relocate 2019",2019,"Before",230000111632,"1","Riffle 1",32,124,96,0.31496064,53,"90",802,"Cobble","SC1","SC",4.02,1.225296,1,1,1,0,0,0,""
"17",416,2806335.34,1266650.1,7459.05,"PITRCK","Relocate 2019",2019,"Before",230000111695,"1","Riffle 1",32,120,97,0.31824148,77,"90",1034,"Cobble","SC1","SC",0.02,0.006096,0,0,0,0,0,0,""
"18",417,2806335.17,1266655.88,7459.15,"PITRCK","Relocate 2019",2019,"Before",228000607532,"1","Riffle 1",23,90,55,0.1804462,42,"64",446,"Gravel","VCG2","VCG",0.05,0.01524,0,0,0,1,0,0,""
"19",418,2806334.56,1266661.12,7459.12,"PITRCK","Relocate 2019",2019,"Before",230000111631,"1","Riffle 1",32,97,56,0.18372704,50,"64",363,"Gravel","VCG2","VCG",0.99,0.301752,0,1,1,1,0,0,""
"20",419,2806335.46,1266668.51,7459.21,"PITRCK","Relocate 2019",2019,"Before",230000111689,"1","Riffle 1",32,141,84,0.27559056,37,"90",888,"Cobble","SC1","SC",0.19,0.057912,0,0,0,0,0,0,""
"21",420,2806318.25,1266549.79,7459.24,"PITRCK","Relocate 2019",2019,"Before",228000607533,"1","Riffle 1",23,89,65,0.2132546,52,"64",400,"Gravel","VCG2","VCG",0.15,0.04572,0,0,0,0,0,0,""
"22",421,2806317.57,1266555.68,7459.01,"PITRCK","Relocate 2019",2019,"Before",230000111712,"1","Riffle 1",32,176,113,0.37073492,74,"128",2062,"Cobble","SC2","SC",0.13,0.039624,0,0,0,0,0,0,""
"23",422,2806316.95,1266563.25,7458.96,"PITRCK","Relocate 2019",2019,"Before",230000111534,"1","Riffle 1",32,157,135,0.4429134,130,"180",3638,"Cobble","LC1","LC",0.09,0.027432,0,0,0,0,0,0,""
"24",423,2806316.31,1266570.37,7458.88,"PITRCK","Relocate 2019",2019,"Before",228000607520,"1","Riffle 1",23,90,64,0.20997376,52,"64",543,"Gravel","VCG2","VCG",0.07,0.021336,0,0,0,0,0,0,""
"25",424,2806315.95,1266574.93,7459.29,"PITRCK","Relocate 2019",2019,"Before",230000111598,"1","Riffle 1",32,142,104,0.34120736,54,"128",1046,"Cobble","SC2","SC",0.13,0.039624,0,0,0,0,0,0,""
"26",425,2806316.03,1266580.01,7459.39,"PITRCK","Relocate 2019",2019,"Before",230000111741,"1","Riffle 1",32,148,100,0.328084,84,"128",1958,"Cobble","SC2","SC",0.25,0.0762,0,0,0,0,0,0,""
"27",426,2806313.38,1266585.83,7459.31,"PITRCK","Relocate 2019",2019,"Before",228000607546,"1","Riffle 1",23,97,71,0.23293964,35,"64",338,"Gravel","VCG2","VCG",1.33,0.405384,0,1,1,0,0,0,""
"28",427,2806314.1,1266591.66,7459.41,"PITRCK","Relocate 2019",2019,"Before",230000111523,"1","Riffle 1",32,150,109,0.35761156,78,"128",1992,"Cobble","SC2","SC",0.08,0.024384,0,0,0,0,0,0,""
"29",428,2806313.8,1266598.36,7459.16,"PITRCK","Relocate 2019",2019,"Before",230000111698,"1","Riffle 1",32,89,82,0.26902888,70,"90",771,"Cobble","SC1","SC",0.14,0.042672,0,0,0,0,0,0,""
"30",429,2806313.44,1266601.58,7459.17,"PITRCK","Relocate 2019",2019,"Before",230000111643,"1","Riffle 1",32,184,125,0.410105,58,"128",2352,"Cobble","SC2","SC",0.69,0.210312,0,1,0,0,0,0,""
"31",430,2806313.39,1266606.97,7458.86,"PITRCK","Relocate 2019",2019,"Before",228000607537,"1","Riffle 1",23,95,61,0.20013124,35,"64",458,"Gravel","VCG2","VCG",0.11,0.033528,0,0,0,0,0,0,""
"32",431,2806311.56,1266612.24,7459.05,"PITRCK","Relocate 2019",2019,"Before",230000111734,"1","Riffle 1",32,120,104,0.34120736,64,"128",1233,"Cobble","SC2","SC",1.53,0.466344,1,1,1,0,0,0,""
"33",432,2806312.24,1266617.13,7458.92,"PITRCK","Relocate 2019",2019,"Before",230000111651,"1","Riffle 1",32,117,111,0.36417324,49,"90",767,"Cobble","SC1","SC",0.17,0.051816,0,0,0,0,0,0,""
"34",433,2806311.03,1266623.53,7459.22,"PITRCK","Relocate 2019",2019,"Before",230000111733,"1","Riffle 1",32,303,265,0.8694226,148,">256",15900,"Boulder","SB1","SB",0.21,0.064008,0,0,0,0,0,0,""
"35",434,2806310.04,1266629.3,7458.92,"PITRCK","Relocate 2019",2019,"Before",230000111679,"1","Riffle 1",32,141,105,0.3444882,79,"128",1381,"Cobble","SC2","SC",0.37,0.112776,0,1,0,0,0,0,""
"36",435,2806310.5,1266635.37,7458.82,"PITRCK","Relocate 2019",2019,"Before",230000111623,"1","Riffle 1",32,136,109,0.35761156,36,"90",858,"Cobble","SC1","SC",0.44,0.134112,0,1,0,0,0,0,""
"37",436,2806309.04,1266639.91,7458.93,"PITRCK","Relocate 2019",2019,"Before",230000111615,"1","Riffle 1",32,134,115,0.3772966,42,"128",986,"Cobble","SC2","SC",0.1,0.03048,0,0,0,0,0,0,""
"38",437,2806309.69,1266647.19,7458.85,"PITRCK","Relocate 2019",2019,"Before",230000111544,"1","Riffle 1",32,86,73,0.23950132,51,"90",518,"Cobble","SC1","SC",0.23,0.070104,0,0,0,0,0,0,""
"39",438,2806308.61,1266656.36,7459.18,"PITRCK","Relocate 2019",2019,"Before",230000111550,"1","Riffle 1",32,107,91,0.29855644,42,"90",571,"Cobble","SC1","SC",0.07,0.021336,0,0,0,0,0,0,""
"40",439,2806299.48,1266549.85,7459.03,"PITRCK","Relocate 2019",2019,"Before",228000607541,"1","Riffle 1",23,91,64,0.20997376,40,"64",398,"Gravel","VCG2","VCG",0.11,0.033528,0,0,0,1,0,0,""
"41",440,2806298.77,1266555.75,7458.55,"PITRCK","Relocate 2019",2019,"Before",230000111517,"1","Riffle 1",32,142,136,0.44619424,46,"128",1173,"Cobble","SC2","SC",0.08,0.024384,0,0,0,0,0,0,""
"42",441,2806292.57,1266557.98,7458.46,"PITRCK","Relocate 2019",2019,"Before",230000111708,"1","Riffle 1",32,181,124,0.40682416,84,"128",2277,"Cobble","SC2","SC",6.47,1.972056,1,1,1,0,0,0,""
"43",442,2806296.99,1266565.11,7458.7,"PITRCK","Relocate 2019",2019,"Before",228000607524,"1","Riffle 1",23,86,68,0.22309712,54,"64",562,"Gravel","VCG2","VCG",0.1,0.03048,0,0,0,0,0,0,""
"44",443,2806296.17,1266570.22,7458.91,"PITRCK","Relocate 2019",2019,"Before",230000111668,"1","Riffle 1",32,177,112,0.36745408,67,"128",1929,"Cobble","SC2","SC",0.18,0.054864,0,0,0,0,0,0,""
"45",444,2806295.01,1266576.26,7459.32,"PITRCK","Relocate 2019",2019,"Before",230000111510,"1","Riffle 1",32,460,230,0.7545932,125,"256",17100,"Cobble","LC2","LC",0.56,0.170688,0,0,0,0,0,0,""
"46",445,2806294.55,1266584.05,7459.1,"PITRCK","Relocate 2019",2019,"Before",228000607516,"1","Riffle 1",23,81,63,0.20669292,55,"64",514,"Gravel","VCG2","VCG",0.2,0.06096,0,0,0,0,0,0,""
"47",446,2806287.9,1266588.01,7458.89,"PITRCK","Relocate 2019",2019,"Before",230000111595,"1","Riffle 1",32,158,98,0.32152232,49,"90",939,"Cobble","SC1","SC",6.88,2.097024,1,1,1,0,0,0,""
"48",447,2806293.03,1266596.03,7458.96,"PITRCK","Relocate 2019",2019,"Before",230000111676,"1","Riffle 1",32,145,84,0.27559056,71,"90",1337,"Cobble","SC1","SC",0.34,0.103632,0,1,0,0,0,0,""
"49",448,2806292.48,1266601.58,7459.11,"PITRCK","Relocate 2019",2019,"Before",230000111735,"1","Riffle 1",32,141,117,0.38385828,56,"128",1706,"Cobble","SC2","SC",0.04,0.012192,0,0,0,0,0,0,""
"50",449,2806284.09,1266606.7,7458.83,"PITRCK","Relocate 2019",2019,"Before",230000111686,"1","Riffle 1",32,110,78,0.25590552,34,"90",601,"Cobble","SC1","SC",7.45,2.27076,1,1,1,0,0,0,""
"51",450,2806291.11,1266613.23,7458.76,"PITRCK","Relocate 2019",2019,"Before",228000607509,"1","Riffle 1",23,106,64,0.20997376,36,"64",440,"Gravel","VCG2","VCG",0.24,0.073152,0,1,0,0,0,0,""
"52",451,2806290.09,1266617.59,7458.77,"PITRCK","Relocate 2019",2019,"Before",230000111728,"1","Riffle 1",32,165,123,0.40354332,75,"180",2327,"Cobble","LC1","LC",0.94,0.286512,0,1,1,0,0,0,""
"53",452,2806289.95,1266624.25,7458.87,"PITRCK","Relocate 2019",2019,"Before",230000111594,"1","Riffle 1",32,135,67,0.21981628,55,"90",911,"Cobble","SC1","SC",0.38,0.115824,0,1,0,0,0,0,""
"54",453,2806290.82,1266630.38,7458.76,"PITRCK","Relocate 2019",2019,"Before",230000111566,"1","Riffle 1",32,134,115,0.3772966,43,"128",1003,"Cobble","SC2","SC",0.12,0.036576,0,0,0,0,0,0,""
"55",454,2806290.64,1266637.22,7458.92,"PITRCK","Relocate 2019",2019,"Before",230000111507,"1","Riffle 1",32,331,236,0.77427824,143,"256",11400,"Cobble","LC2","LC",0.42,0.128016,0,0,0,0,0,0,""
"56",455,2806288.44,1266642.51,7458.88,"PITRCK","Relocate 2019",2019,"Before",230000111717,"1","Riffle 1",32,135,93,0.30511812,59,"90",1398,"Cobble","SC1","SC",1.86,0.566928,1,1,1,0,0,0,""
"57",456,2806290.23,1266647.92,7458.94,"PITRCK","Relocate 2019",2019,"Before",230000111560,"1","Riffle 1",32,91,75,0.246063,50,"64",337,"Gravel","VCG2","VCG",0.22,0.067056,0,0,0,0,0,0,""
"58",457,2806289.71,1266652.07,7459.06,"PITRCK","Relocate 2019",2019,"Before",230000111720,"1","Riffle 1",32,119,100,0.328084,43,"90",741,"Cobble","SC1","SC",0.19,0.057912,0,0,0,0,0,0,""
"59",458,2806289.6,1266659.32,7459.1,"PITRCK","Relocate 2019",2019,"Before",230000111527,"1","Riffle 1",32,139,76,0.24934384,75,"90",1153,"Cobble","SC1","SC",0.09,0.027432,0,0,0,0,0,0,""
"60",459,2806308.63,1266664.78,7459.4,"PITRCK","Relocate 2019",2019,"Before",230000111575,"1","Riffle 1",32,135,96,0.31496064,53,"90",1034,"Cobble","SC1","SC",0.08,0.024384,0,0,0,0,0,0,""
"61",460,2806259.37,1266536.73,7458.79,"PITRCK","Relocate 2019",2019,"Before",228000607549,"1","Riffle 1",23,72,50,0.164042,38,"64",185,"Gravel","VCG2","VCG",0.18,0.054864,0,1,0,0,0,0,""
"62",461,2806258.02,1266541.53,7458.62,"PITRCK","Relocate 2019",2019,"Before",230000111556,"1","Riffle 1",32,116,113,0.37073492,59,"128",1187,"Cobble","SC2","SC",0.05,0.01524,0,0,0,0,0,0,""
"63",462,2806257.79,1266547.56,7458.71,"PITRCK","Relocate 2019",2019,"Before",230000111570,"1","Riffle 1",32,218,94,0.30839896,50,"128",2142,"Cobble","SC2","SC",0.21,0.064008,0,0,0,0,0,0,""
"64",463,2806253.1,1266553,7458.3,"PITRCK","Relocate 2019",2019,"Before",228000607577,"1","Riffle 1",23,94,66,0.21653544,23,"64",361,"Gravel","VCG2","VCG",3.55,1.08204,0,1,1,0,0,0,""
"65",464,2806254.48,1266557.9,7458.46,"PITRCK","Relocate 2019",2019,"Before",230000111636,"1","Riffle 1",32,141,97,0.31824148,83,"128",2024,"Cobble","SC2","SC",0.84,0.256032,0,1,1,0,0,0,""
"66",465,2806254.16,1266563.07,7458.3,"PITRCK","Relocate 2019",2019,"Before",230000111716,"1","Riffle 1",32,129,116,0.38057744,60,"128",1338,"Cobble","SC2","SC",0.36,0.109728,0,0,0,0,0,0,""
"67",466,2806252.75,1266568.4,7458.39,"PITRCK","Relocate 2019",2019,"Before",230000111592,"1","Riffle 1",32,213,113,0.37073492,49,"128",2412,"Cobble","SC2","SC",0.48,0.146304,0,1,0,0,0,0,""
"68",467,2806247.7,1266573.45,7458.41,"PITRCK","Relocate 2019",2019,"Before",228000607565,"1","Riffle 1",23,94,58,0.19028872,56,"64",433,"Gravel","VCG2","VCG",5.05,1.53924,0,1,1,0,0,0,""
"69",468,2806251.53,1266580.03,7458.63,"PITRCK","Relocate 2019",2019,"Before",230000111551,"1","Riffle 1",32,189,103,0.33792652,71,"128",1963,"Cobble","SC2","SC",0.07,0.021336,0,0,0,0,0,0,""
"70",469,2806250.78,1266586.58,7458.47,"PITRCK","Relocate 2019",2019,"Before",230000111525,"1","Riffle 1",32,104,86,0.28215224,46,"90",837,"Cobble","SC1","SC",0.36,0.109728,0,1,0,0,0,0,""
"71",470,2806248.22,1266592.43,7458.82,"PITRCK","Relocate 2019",2019,"Before",230000111578,"1","Riffle 1",32,374,275,0.902231,144,">256",19700,"Boulder","SB1","SB",1.66,0.505968,1,1,0,0,0,0,""
"72",471,2806240.44,1266597.04,7458.23,"PITRCK","Relocate 2019",2019,"Before",230000111555,"1","Riffle 1",32,109,71,0.23293964,69,"90",826,"Cobble","SC1","SC",9.38,2.859024,1,1,1,0,0,0,""
"73",472,2806248.34,1266603.9,7458.38,"PITRCK","Relocate 2019",2019,"Before",230000111746,"1","Riffle 1",32,111,68,0.22309712,59,"90",775,"Cobble","SC1","SC",0.88,0.268224,0,1,1,0,0,0,""
"74",473,2806247.96,1266607.03,7458.45,"PITRCK","Relocate 2019",2019,"Before",230000111707,"1","Riffle 1",32,151,98,0.32152232,58,"90",1186,"Cobble","SC1","SC",0.76,0.231648,0,1,1,0,0,0,""
"75",474,2806248.01,1266612.68,7458.46,"PITRCK","Relocate 2019",2019,"Before",230000111577,"1","Riffle 1",32,102,78,0.25590552,45,"90",546,"Cobble","SC1","SC",0.11,0.033528,0,0,0,0,0,0,""
"76",475,2806245.51,1266617.83,7458.5,"PITRCK","Relocate 2019",2019,"Before",230000111607,"1","Riffle 1",32,113,100,0.328084,63,"90",1093,"Cobble","SC1","SC",2.77,0.844296,1,1,1,0,0,0,""
