OBJECTID,Shape,Num,TIMESTAMP,RECORD,T109_C,batt_volt,rmcutc,Lat_DD,Long_DD,DetDate,DetTime,DetDur,TagType,TagID,Antenna
1,Point,1,9/15/25 11:46:00 AM,1,-107.8,13.06,174642,1266470.875,2806270.314,9/15/2025,11:46:42,00:00.0,HA,230000087405,M3 Packraft
2,Point,2,9/15/25 12:19:00 PM,13,-107.4,13.14,181939,1266501.836,2806224.092,9/15/2025,12:19:39,00:00.0,HA,228000607516,M3 Packraft
3,Point,3,9/15/25 12:20:00 PM,23,-108.5,13.08,182019,1266520.049,2806224.234,9/15/2025,12:20:19,00:00.3,HA,230000111560,M3 Packraft
4,Point,4,9/15/25 12:20:00 PM,25,-108.2,13.14,182029,1266520.049,2806224.234,9/15/2025,12:20:24,00:04.9,HA,231000039735,M3 Packraft
5,Point,5,9/15/25 12:20:00 PM,26,-107.7,13.07,182033,1266525.877,2806224.28,9/15/2025,12:20:29,00:03.6,HA,230000111566,M3 Packraft
6,Point,6,9/15/25 12:20:00 PM,28,-104.7,13.08,182054,1266537.9,2806270.837,9/15/2025,12:20:53,00:00.9,HA,230000111686,M3 Packraft
7,Point,7,9/15/25 12:34:00 PM,32,-106.7,13.08,183430,1266646.814,2806318.431,9/15/2025,12:34:29,00:00.5,HA,228000607532,M3 Packraft
8,Point,8,9/15/25 12:35:00 PM,35,-111.2,13.08,183501,1266616.216,2806318.192,9/15/2025,12:35:01,00:00.5,HA,230000111725,M3 Packraft
9,Point,9,9/15/25 12:35:00 PM,38,-106.4,13.15,183530,1266598.003,2806318.05,9/15/2025,12:35:18,00:11.7,HA,230000111562,M3 Packraft
10,Point,10,9/15/25 12:36:00 PM,41,-107.1,13.08,183652,1266537.535,2806317.578,9/15/2025,12:36:50,00:02.4,HA,230000111712,M3 Packraft
11,Point,11,9/15/25 12:37:00 PM,48,-113.6,13.08,183702,1266537.535,2806317.578,9/15/2025,12:36:57,00:04.7,HA,231000039738,M3 Packraft
12,Point,12,9/15/25 12:37:00 PM,49,-108.7,13.08,183715,1266543.363,2806317.624,9/15/2025,12:37:14,00:00.0,HA,230000111683,M3 Packraft
13,Point,13,9/15/25 12:37:00 PM,53,-107.5,13.08,183734,1266549.556,2806317.672,9/15/2025,12:37:34,00:00.1,HA,230000111708,M3 Packraft
14,Point,14,9/15/25 12:37:00 PM,56,-108.4,13.14,183754,1266561.576,2806317.766,9/15/2025,12:37:50,00:03.7,HA,230000111578,M3 Packraft
15,Point,15,9/15/25 12:38:00 PM,59,-107.3,13.15,183800,1266561.576,2806317.766,9/15/2025,12:37:57,00:03.3,HA,228000607513,M3 Packraft
16,Point,16,9/15/25 12:38:00 PM,61,-111.4,13.14,183809,1266573.962,2806317.863,9/15/2025,12:38:08,00:00.7,HA,230000111717,M3 Packraft
17,Point,17,9/15/25 12:39:00 PM,62,-109.6,13.15,183927,1266653.008,2806271.736,9/15/2025,12:39:23,00:03.6,HA,230000111735,M3 Packraft
18,Point,18,9/15/25 12:39:00 PM,65,-107,13.15,183936,1266647.179,2806271.69,9/15/2025,12:39:36,00:00.0,HA,230000111540,M3 Packraft
19,Point,19,9/15/25 12:40:00 PM,68,-108.4,13.08,184020,1266592.54,2806271.264,9/15/2025,12:40:04,00:14.9,HA,230000111733,M3 Packraft
20,Point,20,9/15/25 12:40:00 PM,71,-107.7,13.11,184033,1266573.962,2806317.863,9/15/2025,12:40:33,00:00.0,HA,228000607513,M3 Packraft
21,Point,21,9/15/25 12:41:00 PM,73,-107.1,13.09,184102,1266531.343,2806317.53,9/15/2025,12:41:01,00:00.3,HA,230000087405,M3 Packraft
22,Point,22,9/15/25 12:41:00 PM,77,-108.4,13.15,184114,1266531.343,2806317.53,9/15/2025,12:41:14,00:00.0,HA,230000111596,M3 Packraft
23,Point,23,9/15/25 12:41:00 PM,79,-106.6,13.15,184130,1266537.9,2806270.837,9/15/2025,12:41:28,00:01.0,HA,230000111581,M3 Packraft
24,Point,24,9/15/25 12:41:00 PM,81,-106.9,13.08,184134,1266543.728,2806270.883,9/15/2025,12:41:32,00:02.5,HA,230000111734,M3 Packraft
25,Point,25,9/15/25 12:42:00 PM,83,-107.7,13.08,184159,1266580.154,2806271.167,9/15/2025,12:41:53,00:05.5,HA,230000111555,M3 Packraft
26,Point,26,9/15/25 12:42:00 PM,84,-110.5,13.08,184201,1266580.154,2806271.167,9/15/2025,12:41:59,00:01.0,HA,228000607507,M3 Packraft
27,Point,27,9/15/25 12:42:00 PM,87,-108.2,13.08,184229,1266604.56,2806271.358,9/15/2025,12:42:14,00:14.7,HA,230000111614,M3 Packraft
28,Point,28,9/15/25 12:43:00 PM,89,-110.3,13.15,184302,1266622.773,2806271.5,9/15/2025,12:42:49,00:12.5,HA,228000607541,M3 Packraft
29,Point,29,9/15/25 12:43:00 PM,94,-106.7,13.15,184357,1266616.944,2806224.991,9/15/2025,12:43:57,00:00.4,HA,228000607546,M3 Packraft
30,Point,30,9/15/25 12:44:00 PM,99,-108.7,13.08,184407,1266611.116,2806224.945,9/15/2025,12:44:07,00:00.0,HA,228000607571,M3 Packraft
31,Point,31,9/15/25 12:44:00 PM,104,-107,13.15,184441,1266561.941,2806271.025,9/15/2025,12:44:38,00:03.2,HA,230000111695,M3 Packraft
32,Point,32,9/15/25 12:44:00 PM,107,-106.9,13.08,184454,1266549.921,2806270.931,9/15/2025,12:44:52,00:01.8,HA,231000039781,M3 Packraft
33,Point,33,9/15/25 12:45:00 PM,108,-108.9,13.08,184509,1266537.9,2806270.837,9/15/2025,12:44:59,00:09.1,HA,230000111592,M3 Packraft
34,Point,34,9/15/25 12:45:00 PM,109,-109.7,13.15,184518,1266531.707,2806270.789,9/15/2025,12:45:10,00:07.3,HA,230000111686,M3 Packraft
35,Point,35,9/15/25 12:46:00 PM,116,-107,13.15,184650,1266611.116,2806224.945,9/15/2025,12:46:50,00:00.0,HA,230000111523,M3 Packraft
36,Point,36,9/15/25 12:47:00 PM,123,-106.6,13.08,184752,1266604.923,2806224.897,9/15/2025,12:47:46,00:04.9,HA,230000111541,M3 Packraft
37,Point,37,9/15/25 12:48:00 PM,125,-107.6,13.08,184813,1266574.689,2806224.661,9/15/2025,12:48:11,00:01.4,HA,228000607505,M3 Packraft
38,Point,38,9/15/25 12:48:00 PM,126,-109.6,13.09,184816,1266568.496,2806224.612,9/15/2025,12:48:16,00:00.0,HA,230000111643,M3 Packraft
39,Point,39,9/15/25 12:48:00 PM,130,-111.1,13.14,184821,1266568.496,2806224.612,9/15/2025,12:48:20,00:00.0,HA,228000607505,M3 Packraft
40,Point,40,9/15/25 12:48:00 PM,131,-107.5,13.08,184823,1266568.496,2806224.612,9/15/2025,12:48:20,00:02.2,HA,230000111643,M3 Packraft
41,Point,41,9/15/25 12:48:00 PM,132,-106.8,13.08,184832,1266556.476,2806224.518,9/15/2025,12:48:32,00:00.0,HA,230000298013,M3 Packraft
42,Point,42,9/15/25 12:49:00 PM,134,-106.4,13.08,184859,1266532.07,2806224.328,9/15/2025,12:48:58,00:00.1,HA,230000087405,M3 Packraft
43,Point,43,9/15/25 12:49:00 PM,138,-107.3,13.15,184912,1266532.07,2806224.328,9/15/2025,12:49:10,00:01.7,HA,231000039735,M3 Packraft
44,Point,44,9/15/25 12:49:00 PM,142,-108.1,13.15,184923,1266532.07,2806224.328,9/15/2025,12:49:18,00:05.1,HA,230000111566,M3 Packraft
45,Point,45,9/15/25 12:49:00 PM,143,-106.9,13.15,184946,1266562.304,2806224.564,9/15/2025,12:49:45,00:00.4,HA,230000111510,M3 Packraft
46,Point,46,9/15/25 12:49:00 PM,145,-106.4,13.08,184953,1266568.496,2806224.612,9/15/2025,12:49:50,00:02.3,HA,230000111624,M3 Packraft
47,Point,47,9/15/25 12:50:00 PM,146,-109.8,13.15,185009,1266587.075,2806178.014,9/15/2025,12:50:04,00:05.0,HA,230000111570,M3 Packraft
48,Point,48,9/15/25 12:50:00 PM,150,-107,13.09,185034,1266605.288,2806178.156,9/15/2025,12:50:32,00:02.3,HA,230000111594,M3 Packraft
49,Point,49,9/15/25 12:55:00 PM,151,-108,13.15,185532,1266616.944,2806224.991,9/15/2025,12:55:31,00:00.8,HA,230000111567,M3 Packraft
50,Point,50,9/15/25 12:56:00 PM,158,-105.7,13.09,185623,1266605.288,2806178.156,9/15/2025,12:56:19,00:03.9,HA,230000111684,M3 Packraft
51,Point,51,9/15/25 12:56:00 PM,159,-108,13.15,185636,1266593.267,2806178.062,9/15/2025,12:56:31,00:04.3,HA,230000111631,M3 Packraft
52,Point,52,9/15/25 12:56:00 PM,161,-106.3,13.09,185642,1266587.075,2806178.014,9/15/2025,12:56:41,00:00.7,HA,231000039758,M3 Packraft
53,Point,53,9/15/25 12:56:00 PM,163,-106.2,13.09,185648,1266580.882,2806177.965,9/15/2025,12:56:48,00:00.0,HA,230000111698,M3 Packraft
54,Point,54,9/15/25 12:57:00 PM,166,-108.2,13.15,185720,1266568.496,2806224.612,9/15/2025,12:57:19,00:01.1,HA,228000607524,M3 Packraft
55,Point,55,9/15/25 12:57:00 PM,168,-106.6,13.09,185735,1266556.476,2806224.518,9/15/2025,12:57:35,00:00.0,HA,230000298011,M3 Packraft
56,Point,56,9/15/25 12:57:00 PM,174,-109.4,13.15,185749,1266538.263,2806224.376,9/15/2025,12:57:48,00:00.0,HA,230000111728,M3 Packraft
57,Point,57,9/15/25 12:58:00 PM,187,-110,13.15,185806,1266525.877,2806224.28,9/15/2025,12:58:06,00:00.0,HA,228000607516,M3 Packraft
58,Point,58,9/15/25 12:58:00 PM,192,-106.8,13.09,185830,1266532.07,2806224.328,9/15/2025,12:58:29,00:00.9,HA,231000039765,M3 Packraft
59,Point,59,9/15/25 12:59:00 PM,195,-108.2,13.09,185907,1266575.054,2806177.92,9/15/2025,12:58:57,00:10.2,HA,230000111677,M3 Packraft
60,Point,60,9/15/25 1:02:00 PM,199,-106.8,13.09,190240,1266611.846,2806131.463,9/15/2025,13:02:39,00:00.2,HA,230000111648,M3 Packraft
61,Point,61,9/15/25 1:05:00 PM,202,-106.7,13.15,190543,1266538.992,2806130.894,9/15/2025,13:05:43,00:00.1,HA,228000607573,M3 Packraft
62,Point,62,9/15/25 1:10:00 PM,204,-108.4,13.09,191011,1266539.356,2806084.433,9/15/2025,13:10:10,00:00.4,HA,228000607533,M3 Packraft
63,Point,63,9/15/25 1:12:00 PM,206,-106.4,13.14,191250,1266594.36,2806038.119,9/15/2025,13:12:50,00:00.2,HA,230000111527,M3 Packraft
64,Point,64,9/15/25 1:13:00 PM,210,-107.5,13.09,191335,1266521.508,2806037.55,9/15/2025,13:13:35,00:00.0,HA,231000039714,M3 Packraft
65,Point,65,9/15/25 1:17:00 PM,225,-106.3,13.15,191740,1266521.873,2805990.809,9/15/2025,13:17:39,00:00.3,HA,231000039720,M3 Packraft
66,Point,66,9/15/25 2:03:00 PM,227,-107.6,13.08,200315,1266555.756,2805524.755,9/15/2025,14:03:13,00:01.7,HA,230000087405,M3 Packraft
67,Point,67,9/15/25 2:32:00 PM,230,-107,13.07,203158,1266562.315,2805478.062,9/15/2025,14:31:57,00:00.6,HA,226001370342,M3 Packraft
68,Point,68,9/15/25 2:45:00 PM,237,-109.2,13.13,204511,1266466.153,2805337.356,9/15/2025,14:45:10,00:00.4,HA,230000087405,M3 Packraft
69,Point,69,9/15/25 2:56:00 PM,238,-107.6,13.12,205652,1266503.678,2805197.699,9/15/2025,14:56:48,00:03.1,HA,209000133209,M3 Packraft
70,Point,70,9/15/25 2:59:00 PM,240,-106.9,13.13,205950,1266503.678,2805197.699,9/15/2025,14:59:49,00:00.0,HA,209000133204,M3 Packraft
71,Point,71,9/15/25 3:01:00 PM,243,-108.2,13.06,210112,1266521.891,2805197.842,9/15/2025,15:01:11,00:00.0,HA,209000133181,M3 Packraft
72,Point,72,9/15/25 3:02:00 PM,246,-106.9,13.05,210230,1266491.657,2805197.604,9/15/2025,15:02:29,00:00.3,HA,209000133155,M3 Packraft
73,Point,73,9/15/25 3:02:00 PM,248,-107.4,13.12,210241,1266503.678,2805197.699,9/15/2025,15:02:33,00:06.9,HA,230000298006,M3 Packraft
74,Point,74,9/15/25 3:06:00 PM,294,-106.6,13.06,210619,1266504.045,2805150.958,9/15/2025,15:06:18,00:00.1,HA,209000133194,M3 Packraft
75,Point,75,9/15/25 3:06:00 PM,298,-106.5,13.05,210629,1266510.238,2805151.006,9/15/2025,15:06:24,00:03.7,HA,209000133126,M3 Packraft
76,Point,76,9/15/25 3:09:00 PM,300,-108.7,13.05,210906,1266467.619,2805150.672,9/15/2025,15:09:04,00:00.7,HA,230000087405,M3 Packraft
77,Point,77,9/15/25 3:29:00 PM,308,-106,13.11,212950,1266463.257,2804917.477,9/15/2025,15:29:47,00:02.0,HA,209000133185,M3 Packraft
78,Point,78,9/15/25 3:30:00 PM,311,-108.5,13.11,213030,1266451.604,2804870.641,9/15/2025,15:30:28,00:00.3,HA,230000087405,M3 Packraft
79,Point,79,9/15/25 4:20:00 PM,317,-106.6,13.07,222056,1266606.875,2803659.042,9/15/2025,16:20:54,00:00.8,HA,228000607539,M3 Packraft
80,Point,80,9/15/25 4:24:00 PM,321,-108.1,13.06,222420,1266643.671,2803612.59,9/15/2025,16:24:18,00:00.5,HA,230000111658,M3 Packraft
81,Point,81,9/15/25 4:25:00 PM,324,-105.8,13,222554,1266601.052,2803612.252,9/15/2025,16:25:53,00:00.0,HA,230000087405,M3 Packraft
82,Point,82,9/15/25 4:28:00 PM,325,-109.8,13,222814,1266625.825,2803565.985,9/15/2025,16:28:12,00:00.1,HA,228000607561,M3 Packraft
83,Point,83,9/15/25 4:28:00 PM,332,-104.9,12.99,222857,1266613.805,2803565.89,9/15/2025,16:28:55,00:00.7,HA,228000607528,M3 Packraft
84,Point,84,9/15/25 4:31:00 PM,334,-108.2,13.05,223111,1266650.601,2803519.437,9/15/2025,16:31:09,00:00.7,HA,230000111584,M3 Packraft
85,Point,85,9/15/25 4:35:00 PM,339,-106.5,12.98,223546,1266607.982,2803519.1,9/15/2025,16:35:44,00:00.7,HA,230000087405,M3 Packraft
86,Point,86,9/15/25 4:37:00 PM,340,-108,13.05,223715,1266632.758,2803472.552,9/15/2025,16:37:13,00:00.1,HA,230000111673,M3 Packraft
87,Point,87,9/15/25 4:38:00 PM,342,-109.7,12.98,223807,1266596.332,2803472.263,9/15/2025,16:38:06,00:00.0,HA,230000087405,M3 Packraft
88,Point,88,9/15/25 4:38:00 PM,344,-106.9,12.98,223833,1266596.332,2803472.263,9/15/2025,16:38:31,00:00.3,HA,230000111608,M3 Packraft
89,Point,89,9/15/25 4:40:00 PM,352,-106.9,13.04,224016,1266620.373,2803472.454,9/15/2025,16:40:14,00:00.7,HA,230000111673,M3 Packraft
90,Point,90,9/15/25 4:41:00 PM,353,-107.6,12.98,224109,1266638.954,2803426.137,9/15/2025,16:41:07,00:00.7,HA,230000111604,M3 Packraft
91,Point,91,9/15/25 4:43:00 PM,363,-110,13.04,224305,1266590.139,2803472.215,9/15/2025,16:43:03,00:00.7,HA,230000087405,M3 Packraft
92,Point,92,9/15/25 5:26:00 PM,393,-109.1,12.95,232616,1266887.743,2803474.571,9/15/2025,17:26:14,00:00.1,HA,230000087408,M3 Packraft
93,Point,93,9/16/25 9:06:00 AM,416,-108.8,13.52,150640,1266821.087,2803427.58,9/16/2025,9:06:31,00:03.0,HA,230000087405,M3 Packraft
94,Point,94,9/16/25 9:07:00 AM,440,-107.7,13.24,150737,1266821.087,2803427.58,9/16/2025,9:07:31,00:00.2,HA,226001581072,M3 Packraft
95,Point,95,9/16/25 9:09:00 AM,445,-109.4,13.18,150910,1266815.258,2803427.534,9/16/2025,9:09:03,00:01.7,HA,230000087405,M3 Packraft
96,Point,96,9/16/25 9:14:00 AM,448,-110.2,13.03,151428,1266815.258,2803427.534,9/16/2025,9:14:21,00:00.7,HA,230000087408,M3 Packraft
97,Point,97,9/16/25 9:32:00 AM,451,-108.3,13.03,153217,1266579.227,2803332.176,9/16/2025,9:32:11,00:00.1,HA,230000111718,M3 Packraft
98,Point,98,9/16/25 9:40:00 AM,460,-108.2,13.03,154013,1266555.189,2803285.522,9/16/2025,9:40:07,00:00.2,HA,230000111681,M3 Packraft
99,Point,99,9/16/25 9:55:00 AM,474,-107.8,13.03,155541,1266507.113,2803238.397,9/16/2025,9:55:34,00:00.1,HA,230000087408,M3 Packraft
100,Point,100,9/16/25 9:59:00 AM,476,-109.5,13.03,155914,1266500.92,2803238.348,9/16/2025,9:59:08,00:00.1,HA,231000039756,M3 Packraft
101,Point,101,9/16/25 10:16:00 AM,481,-107.9,13.03,161624,1266453.583,2803098.02,9/16/2025,10:15:46,00:31.8,HA,228000607572,M3 Packraft
102,Point,102,9/16/25 10:16:00 AM,484,-106.1,13.11,161650,1266453.583,2803098.02,9/16/2025,10:16:41,00:02.9,HA,228000607540,M3 Packraft
103,Point,103,9/16/25 10:19:00 AM,489,-107,13.08,161931,1266453.583,2803098.02,9/16/2025,10:19:25,00:00.1,HA,228000607504,M3 Packraft
104,Point,104,9/16/25 10:28:00 AM,513,-107.2,13.03,162821,1266453.954,2803051.279,9/16/2025,10:28:15,00:00.0,HA,230000087408,M3 Packraft
105,Point,105,9/16/25 10:33:00 AM,514,-106.8,13.03,163317,1266435.74,2803051.134,9/16/2025,10:33:11,00:00.0,HA,230000111611,M3 Packraft
106,Point,106,9/16/25 10:48:00 AM,523,-108.3,13.04,164809,1266369.826,2802910.658,9/16/2025,10:48:02,00:00.6,HA,230000087408,M3 Packraft
107,Point,107,9/16/25 11:03:00 AM,524,-108.2,13.12,170320,1266236.875,2802863.138,9/16/2025,11:03:10,00:03.1,HA,230000111696,M3 Packraft
108,Point,108,9/16/25 11:04:00 AM,531,-108.3,13.1,170422,1266230.682,2802863.089,9/16/2025,11:04:15,00:00.1,HA,230000087408,M3 Packraft
