OBJECTID,Shape,Num,TIMESTAMP,Date,Time,RECORD,T109_C,batt_volt,Lat_DD,Long_DD,DetDate,DetTime,DetDur,TagType,TagID,Antenna
1,Point,1,9/16/25 10:50:06 AM,9/16/2025,10:50:06,1244,NAN,13.1,1266549.556,2806317.672,9/16/2025,8:26:13 AM,00:02.6,HA,230000111596,M4 Backpack
2,Point,2,9/16/25 10:52:50 AM,9/16/2025,10:52:50,1721,-118.9,12.88,1266549.556,2806317.672,9/16/2025,8:28:59 AM,00:00.0,HA,230000111712,M4 Backpack
3,Point,3,9/16/25 10:57:50 AM,9/16/2025,10:57:50,2001,-122.4,13.1,1266665.028,2806318.573,9/16/2025,8:33:59 AM,00:00.0,HA,228000607532,M4 Backpack
4,Point,4,9/16/25 11:01:44 AM,9/16/2025,11:01:44,2074,-122.9,13.11,1266555.384,2806364.461,9/16/2025,8:37:53 AM,00:00.0,HA,230000111683,M4 Backpack
5,Point,5,9/16/25 11:03:17 AM,9/16/2025,11:03:17,2186,NAN,13.11,1266573.962,2806317.863,9/16/2025,8:39:26 AM,00:00.0,HA,230000111578,M4 Backpack
6,Point,6,9/16/25 11:03:31 AM,9/16/2025,11:03:31,2238,-126.6,13.1,1266579.79,2806317.908,9/16/2025,8:39:39 AM,00:00.3,HA,228000607513,M4 Backpack
7,Point,7,9/16/25 11:03:48 AM,9/16/2025,11:03:48,2368,-117.2,12.89,1266585.982,2806317.957,9/16/2025,8:39:57 AM,00:00.4,HA,230000111578,M4 Backpack
8,Point,8,9/16/25 11:04:23 AM,9/16/2025,11:04:23,2374,-128.3,13.11,1266592.175,2806318.005,9/16/2025,8:40:32 AM,00:00.0,HA,230000111717,M4 Backpack
9,Point,9,9/16/25 11:05:10 AM,9/16/2025,11:05:10,2419,-131.1,13.07,1266604.195,2806318.099,9/16/2025,8:41:19 AM,00:00.0,HA,230000111562,M4 Backpack
10,Point,10,9/16/25 11:06:34 AM,9/16/2025,11:06:34,2667,-118.7,13.11,1266610.388,2806318.147,9/16/2025,8:42:43 AM,00:00.0,HA,230000111746,M4 Backpack
11,Point,11,9/16/25 11:08:53 AM,9/16/2025,11:08:53,2954,NAN,13.09,1266610.388,2806318.147,9/16/2025,8:45:02 AM,00:00.0,HA,230000111725,M4 Backpack
