OBJECTID,Shape,Date,Time,TagID,Latitude,Longitude,Antenna
1,Point,9/16/2025,10:54:52 AM,230000142503,1266491.627,2806271.876,HPR+
2,Point,9/16/2025,11:21:04 AM,230000111712,1266542.654,2806315.099,HPR+
3,Point,9/16/2025,11:27:04 AM,231000039738,1266553.15,2806370.602,HPR+
4,Point,9/16/2025,11:35:34 AM,230000111683,1266567.191,2806345.24,HPR+
5,Point,9/16/2025,11:45:14 AM,230000111708,1266567.191,2806345.24,HPR+
6,Point,9/16/2025,11:47:32 AM,230000111578,1266567.191,2806345.24,HPR+
7,Point,9/16/2025,11:49:37 AM,228000607513,1266567.191,2806345.24,HPR+
8,Point,9/16/2025,11:54:18 AM,226001370256,1266567.191,2806345.24,HPR+
9,Point,9/16/2025,11:56:26 AM,230000111717,1266567.191,2806345.24,HPR+
10,Point,9/16/2025,11:59:35 AM,230000111562,1266567.191,2806345.24,HPR+
11,Point,9/16/2025,12:01:25 PM,230000111746,1266567.191,2806345.24,HPR+
12,Point,9/16/2025,12:03:04 PM,230000111725,1266567.191,2806345.24,HPR+
13,Point,9/16/2025,12:05:25 PM,228000607532,1266567.191,2806345.24,HPR+
14,Point,9/16/2025,12:10:24 PM,230000111735,1266567.191,2806345.24,HPR+
15,Point,9/16/2025,12:13:29 PM,230000111540,1266567.191,2806345.24,HPR+
16,Point,9/16/2025,12:15:45 PM,230000111545,1266567.191,2806345.24,HPR+
17,Point,9/16/2025,12:22:23 PM,230000111668,1266641.023,2806313.628,HPR+
18,Point,9/16/2025,12:24:20 PM,230000111733,1266641.023,2806313.628,HPR+
19,Point,9/16/2025,12:25:46 PM,230000111575,1266641.023,2806313.628,HPR+
20,Point,9/16/2025,12:30:36 PM,230000111734,1266641.023,2806313.628,HPR+
21,Point,9/16/2025,12:33:27 PM,230000111581,1266641.023,2806313.628,HPR+
22,Point,9/16/2025,12:35:45 PM,230000111596,1266641.023,2806313.628,HPR+
23,Point,9/16/2025,1:17:51 PM,231000039765,1266525.19,2806218.956,HPR+
24,Point,9/16/2025,1:20:39 PM,230000142503,1266536.551,2806210.368,HPR+
25,Point,9/16/2025,1:28:19 PM,228000607537,1266525.208,2806216.717,HPR+
26,Point,9/16/2025,1:34:19 PM,228000607524,1266525.208,2806216.717,HPR+
27,Point,9/16/2025,1:35:58 PM,230000111510,1266525.208,2806216.717,HPR+
28,Point,9/16/2025,1:37:56 PM,230000111624,1266525.208,2806216.717,HPR+
29,Point,9/16/2025,1:39:29 PM,230000111698,1266525.208,2806216.717,HPR+
30,Point,9/16/2025,1:42:50 PM,230000111677,1266525.208,2806216.717,HPR+
31,Point,9/16/2025,1:45:48 PM,231000039758,1266525.208,2806216.717,HPR+
32,Point,9/16/2025,1:49:32 PM,230000111631,1266525.208,2806216.717,HPR+
33,Point,9/16/2025,1:49:42 PM,231000039758,1266525.208,2806216.717,HPR+
34,Point,9/16/2025,1:49:49 PM,230000142503,1266525.208,2806216.717,HPR+
35,Point,9/16/2025,1:49:50 PM,231000039758,1266525.208,2806216.717,HPR+
36,Point,9/16/2025,1:51:17 PM,230000111631,1266525.208,2806216.717,HPR+
37,Point,9/16/2025,1:53:47 PM,230000111570,1266525.208,2806216.717,HPR+
38,Point,9/16/2025,1:55:55 PM,230000111684,1266525.208,2806216.717,HPR+
39,Point,9/16/2025,1:59:02 PM,230000111567,1266525.208,2806216.717,HPR+
40,Point,9/16/2025,2:08:24 PM,230000111594,1266615.546,2806217.422,HPR+
41,Point,9/16/2025,2:12:19 PM,230000111507,1266615.563,2806215.183,HPR+
42,Point,9/16/2025,2:15:11 PM,230000111716,1266615.563,2806215.183,HPR+
43,Point,9/16/2025,2:16:33 PM,226001370277,1266615.563,2806215.183,HPR+
44,Point,9/16/2025,2:18:43 PM,230000111548,1266615.563,2806215.183,HPR+
45,Point,9/16/2025,2:22:56 PM,230000298011,1266615.563,2806215.183,HPR+
46,Point,9/16/2025,2:23:59 PM,230000111728,1266615.563,2806215.183,HPR+
47,Point,9/16/2025,2:25:13 PM,228000607516,1266615.563,2806215.183,HPR+
48,Point,9/16/2025,2:27:36 PM,230000111560,1266615.563,2806215.183,HPR+
49,Point,9/16/2025,2:29:53 PM,231000039735,1266615.563,2806215.183,HPR+
50,Point,9/16/2025,2:31:42 PM,230000111566,1266615.563,2806215.183,HPR+
51,Point,9/16/2025,2:33:19 PM,230000298013,1266615.563,2806215.183,HPR+
52,Point,9/16/2025,2:35:40 PM,228000607505,1266615.563,2806215.183,HPR+
53,Point,9/16/2025,2:36:51 PM,230000111534,1266615.563,2806215.183,HPR+
54,Point,9/16/2025,2:38:08 PM,228000607565,1266615.563,2806215.183,HPR+
55,Point,9/16/2025,2:39:15 PM,230000111541,1266615.563,2806215.183,HPR+
56,Point,9/16/2025,2:41:21 PM,230000111523,1266615.563,2806215.183,HPR+
57,Point,9/16/2025,2:46:55 PM,228000607552,1266615.563,2806215.183,HPR+
58,Point,9/16/2025,2:48:32 PM,228000607571,1266615.563,2806215.183,HPR+
59,Point,9/16/2025,2:51:15 PM,230000142503,1266615.563,2806215.183,HPR+
60,Point,9/16/2025,2:51:41 PM,228000607546,1266615.563,2806215.183,HPR+
61,Point,9/16/2025,2:52:01 PM,230000111700,1266615.563,2806215.183,HPR+
62,Point,9/16/2025,2:55:33 PM,228000607560,1266615.563,2806215.183,HPR+
63,Point,9/16/2025,2:56:55 PM,228000607517,1266615.563,2806215.183,HPR+
64,Point,9/16/2025,2:58:18 PM,226001370244,1266615.563,2806215.183,HPR+
65,Point,9/16/2025,3:07:00 PM,228000607577,1266659.569,2806271.227,HPR+
66,Point,9/16/2025,3:08:08 PM,230000111735,1266659.569,2806271.227,HPR+
67,Point,9/16/2025,3:08:46 PM,230000111540,1266659.569,2806271.227,HPR+
68,Point,9/16/2025,3:09:24 PM,228000607534,1266659.569,2806271.227,HPR+
69,Point,9/16/2025,3:12:06 PM,230000111545,1266659.569,2806271.227,HPR+
70,Point,9/16/2025,3:13:10 PM,230000111668,1266659.569,2806271.227,HPR+
71,Point,9/16/2025,3:14:01 PM,230000111733,1266659.569,2806271.227,HPR+
72,Point,9/16/2025,3:14:22 PM,230000111575,1266659.569,2806271.227,HPR+
73,Point,9/16/2025,3:15:45 PM,228000607513,1266659.569,2806271.227,HPR+
74,Point,9/16/2025,3:17:20 PM,230000111644,1266608.041,2806292.098,HPR+
75,Point,9/16/2025,3:18:36 PM,228000607507,1266608.041,2806292.098,HPR+
76,Point,9/16/2025,4:04:54 PM,230000111592,1266560.586,2806304.603,HPR+
77,Point,9/16/2025,4:05:27 PM,230000111686,1266542.805,2806295.787,HPR+
78,Point,9/16/2025,4:06:18 PM,230000111596,1266538.416,2806297.992,HPR+
79,Point,9/16/2025,4:06:51 PM,230000111592,1266538.416,2806297.992,HPR+
80,Point,9/16/2025,4:09:14 PM,230000111581,1266538.416,2806297.992,HPR+
81,Point,9/16/2025,4:09:37 PM,230000111734,1266538.416,2806297.992,HPR+
82,Point,9/16/2025,4:09:52 PM,231000039781,1266571.979,2806291.816,HPR+
83,Point,9/16/2025,4:12:09 PM,230000111695,1266574.496,2806296.034,HPR+
84,Point,9/16/2025,4:13:14 PM,230000111555,1266589.71,2806307.069,HPR+
85,Point,9/16/2025,4:15:11 PM,230000111695,1266564.99,2806300.439,HPR+
86,Point,9/16/2025,4:15:43 PM,230000111560,1266527.772,2806261.522,HPR+
87,Point,9/16/2025,4:17:01 PM,228000607573,1266554.85,2806152.851,HPR+
88,Point,9/16/2025,4:19:26 PM,228000607533,1266540.034,2806090.876,HPR+
89,Point,9/16/2025,4:24:41 PM,231000039714,1266518.03,2806062.994,HPR+
90,Point,9/16/2025,4:27:30 PM,231000039720,1266526.758,2806018.277,HPR+
91,Point,9/16/2025,4:30:15 PM,230000111527,1266526.776,2806016.038,HPR+
92,Point,9/16/2025,4:33:25 PM,230000111648,1266597.833,2806153.186,HPR+
93,Point,9/16/2025,4:35:50 PM,230000111677,1266575.246,2806200.034,HPR+
94,Point,9/16/2025,4:49:05 PM,231000039702,1266529.951,2805610.203,HPR+
95,Point,9/16/2025,4:52:05 PM,226001370376,1266508.183,2805552.372,HPR+
96,Point,9/16/2025,4:57:19 PM,226001370342,1266555.989,2805495.087,HPR+
97,Point,9/17/2025,10:23:49 AM,230000142503,1266678.097,2805346.576,HPR+
98,Point,9/17/2025,10:27:10 AM,209000133209,1266499.833,2805223.42,HPR+
99,Point,9/17/2025,10:33:06 AM,209000133204,1266510.895,2805206.432,HPR+
100,Point,9/17/2025,10:35:17 AM,209000133181,1266514.986,2805195.828,HPR+
101,Point,9/17/2025,10:38:14 AM,230000298006,1266517.9,2805195.851,HPR+
102,Point,9/17/2025,10:38:41 AM,209000133181,1266522.271,2805195.885,HPR+
103,Point,9/17/2025,10:42:51 AM,209000133155,1266504.242,2805172.232,HPR+
104,Point,9/17/2025,10:45:24 AM,209000133126,1266500.286,2805165.763,HPR+
105,Point,9/17/2025,10:46:13 AM,209000133194,1266504.326,2805161.596,HPR+
106,Point,9/17/2025,10:53:07 AM,209000133185,1266465.922,2804902.943,HPR+
107,Point,9/17/2025,10:55:41 AM,209000133175,1266472.843,2804902.997,HPR+
108,Point,9/17/2025,10:59:32 AM,209000133185,1266472.843,2804902.997,HPR+
109,Point,9/17/2025,11:06:14 AM,209000133134,1266565.293,2804820.313,HPR+
110,Point,9/17/2025,11:11:19 AM,209000133130,1266624.078,2804756.957,HPR+
111,Point,9/17/2025,11:18:32 AM,230000111655,1266624.483,2804705.458,HPR+
112,Point,9/17/2025,11:28:39 AM,230000298016,1266613.907,2804660.591,HPR+
113,Point,9/17/2025,11:37:58 AM,228000607542,1266621.214,2804611.665,HPR+
114,Point,9/17/2025,11:38:26 AM,230000111519,1266621.214,2804611.665,HPR+
115,Point,9/17/2025,11:39:00 AM,230000111591,1266621.214,2804611.665,HPR+
116,Point,9/17/2025,11:39:07 AM,230000111519,1266621.214,2804611.665,HPR+
117,Point,9/17/2025,11:39:10 AM,230000111591,1266621.214,2804611.665,HPR+
118,Point,9/17/2025,11:40:20 AM,230000111585,1266621.214,2804611.665,HPR+
119,Point,9/17/2025,11:40:56 AM,230000111537,1266621.214,2804611.665,HPR+
120,Point,9/17/2025,11:41:37 AM,231000039792,1266621.214,2804611.665,HPR+
121,Point,9/17/2025,11:42:06 AM,230000111634,1266621.214,2804611.665,HPR+
122,Point,9/17/2025,11:42:10 AM,230000111573,1266621.214,2804611.665,HPR+
123,Point,9/17/2025,11:42:51 AM,230000111634,1266621.214,2804611.665,HPR+
124,Point,9/17/2025,11:45:45 AM,231000039792,1266621.214,2804611.665,HPR+
125,Point,9/17/2025,11:46:12 AM,230000111697,1266621.214,2804611.665,HPR+
126,Point,9/17/2025,11:46:51 AM,230000111573,1266621.214,2804611.665,HPR+
127,Point,9/17/2025,11:47:21 AM,230000111697,1266621.214,2804611.665,HPR+
128,Point,9/17/2025,11:47:49 AM,230000111670,1266621.214,2804611.665,HPR+
129,Point,9/17/2025,11:48:35 AM,230000111652,1266621.214,2804611.665,HPR+
130,Point,9/17/2025,11:49:02 AM,230000111742,1266621.214,2804611.665,HPR+
131,Point,9/17/2025,11:50:17 AM,230000111645,1266621.214,2804611.665,HPR+
132,Point,9/17/2025,11:50:50 AM,228000607564,1266621.214,2804611.665,HPR+
133,Point,9/17/2025,11:51:51 AM,226001370241,1266621.214,2804611.665,HPR+
134,Point,9/17/2025,11:52:26 AM,228000607564,1266621.214,2804611.665,HPR+
135,Point,9/17/2025,11:55:26 AM,226001370241,1266621.214,2804611.665,HPR+
136,Point,9/17/2025,11:56:49 AM,230000111731,1266621.214,2804611.665,HPR+
137,Point,9/17/2025,11:57:38 AM,209000132772,1266621.214,2804611.665,HPR+
138,Point,9/17/2025,11:58:00 AM,230000111713,1266621.214,2804611.665,HPR+
139,Point,9/17/2025,11:58:49 AM,230000111747,1266621.214,2804611.665,HPR+
140,Point,9/17/2025,11:59:13 AM,230000111598,1266621.214,2804611.665,HPR+
141,Point,9/17/2025,11:59:41 AM,230000111564,1266621.214,2804611.665,HPR+
142,Point,9/17/2025,12:00:06 PM,209000132797,1266621.214,2804611.665,HPR+
143,Point,9/17/2025,12:00:08 PM,209000133187,1266621.214,2804611.665,HPR+
144,Point,9/17/2025,12:00:25 PM,209000132797,1266621.214,2804611.665,HPR+
145,Point,9/17/2025,12:01:19 PM,209000133113,1266621.214,2804611.665,HPR+
146,Point,9/17/2025,12:01:51 PM,230000111619,1266621.214,2804611.665,HPR+
147,Point,9/17/2025,12:02:47 PM,228000607542,1266621.214,2804611.665,HPR+
148,Point,9/17/2025,12:03:21 PM,230000111743,1266621.214,2804611.665,HPR+
149,Point,9/17/2025,12:04:43 PM,230000111599,1266621.214,2804611.665,HPR+
150,Point,9/17/2025,12:05:01 PM,230000111603,1266621.214,2804611.665,HPR+
151,Point,9/17/2025,12:06:46 PM,230000111599,1266621.214,2804611.665,HPR+
152,Point,9/17/2025,12:07:17 PM,228000607574,1266621.214,2804611.665,HPR+
153,Point,9/17/2025,12:08:14 PM,230000111620,1266621.214,2804611.665,HPR+
154,Point,9/17/2025,12:08:46 PM,230000111515,1266621.214,2804611.665,HPR+
155,Point,9/17/2025,12:10:08 PM,230000111672,1266585.489,2804568.559,HPR+
156,Point,9/17/2025,12:11:22 PM,230000111593,1266585.489,2804568.559,HPR+
157,Point,9/17/2025,12:12:03 PM,230000111625,1266585.489,2804568.559,HPR+
158,Point,9/17/2025,12:14:27 PM,228000607518,1266585.489,2804568.559,HPR+
159,Point,9/17/2025,12:14:39 PM,226001370201,1266585.489,2804568.559,HPR+
160,Point,9/17/2025,12:15:31 PM,230000111707,1266585.489,2804568.559,HPR+
161,Point,9/17/2025,12:15:56 PM,226001370208,1266585.489,2804568.559,HPR+
162,Point,9/17/2025,12:16:41 PM,230000111546,1266585.489,2804568.559,HPR+
163,Point,9/17/2025,12:17:21 PM,226001370208,1266585.489,2804568.559,HPR+
164,Point,9/17/2025,12:18:03 PM,230000111506,1266549.576,2804549.243,HPR+
165,Point,9/17/2025,12:18:47 PM,226001370208,1266549.511,2804557.639,HPR+
166,Point,9/17/2025,12:20:37 PM,230000111682,1266541.064,2804566.249,HPR+
167,Point,9/17/2025,12:20:37 PM,230000111621,1266541.064,2804566.249,HPR+
168,Point,9/17/2025,12:20:56 PM,230000111682,1266538.15,2804566.227,HPR+
169,Point,9/17/2025,12:20:57 PM,230000111621,1266538.15,2804566.227,HPR+
170,Point,9/17/2025,12:21:01 PM,230000111682,1266538.15,2804566.227,HPR+
171,Point,9/17/2025,12:21:02 PM,230000111621,1266538.15,2804566.227,HPR+
172,Point,9/17/2025,12:22:24 PM,230000111506,1266538.15,2804566.227,HPR+
173,Point,9/17/2025,12:22:31 PM,230000111526,1266538.15,2804566.227,HPR+
174,Point,9/17/2025,12:22:52 PM,230000111739,1266538.15,2804566.227,HPR+
175,Point,9/17/2025,12:23:13 PM,230000111547,1266538.15,2804566.227,HPR+
176,Point,9/17/2025,12:24:47 PM,230000111501,1266538.15,2804566.227,HPR+
177,Point,9/17/2025,12:25:52 PM,230000111727,1266538.15,2804566.227,HPR+
178,Point,9/17/2025,12:25:56 PM,230000111501,1266538.15,2804566.227,HPR+
179,Point,9/17/2025,12:25:59 PM,230000111727,1266538.15,2804566.227,HPR+
180,Point,9/17/2025,12:26:31 PM,230000111636,1266538.15,2804566.227,HPR+
181,Point,9/17/2025,12:26:49 PM,230000111685,1266538.15,2804566.227,HPR+
182,Point,9/17/2025,12:27:54 PM,230000111665,1266538.15,2804566.227,HPR+
183,Point,9/17/2025,12:28:16 PM,230000111632,1266538.15,2804566.227,HPR+
184,Point,9/17/2025,12:28:39 PM,230000111622,1266538.15,2804566.227,HPR+
185,Point,9/17/2025,12:30:35 PM,230000111738,1266538.15,2804566.227,HPR+
186,Point,9/17/2025,12:33:37 PM,230000111586,1266538.15,2804566.227,HPR+
187,Point,9/17/2025,12:37:51 PM,230000111605,1266538.15,2804566.227,HPR+
