OBJECTID,Shape,TIMESTAMP,Date,Time,Lat_DD,Long_DD,DetDate,DetTime,DetDur,TagType,TagID,Antenna,,,
1,Point,9/23/2024 11:41:00 AM,9/23/2024,11:41:52,1266479.414,2806267.464,9/23/2024,11:40:58,00:00.0,HA,230000087405,M3,<Null>,<Null>,<Null>
2,Point,9/23/2024 11:43:00 AM,9/23/2024,11:43:05,1266479.414,2806267.464,9/23/2024,11:42:12,00:00.0,HA,226001581072,M3,<Null>,<Null>,<Null>
3,Point,9/23/2024 11:58:00 AM,9/23/2024,11:58:38,1266479.414,2806267.464,9/23/2024,11:57:45,00:00.0,HA,230000087405,M3,<Null>,<Null>,<Null>
4,Point,9/23/2024 12:33:00 PM,9/23/2024,12:33:03,1266509.648,2806267.7,9/23/2024,12:32:09,00:00.0,HA,228000607516,M3,<Null>,<Null>,<Null>
5,Point,9/23/2024 12:33:00 PM,9/23/2024,12:33:28,1266528.223,2806221.381,9/23/2024,12:32:35,00:00.0,HA,230000111560,M3,<Null>,<Null>,<Null>
6,Point,9/23/2024 12:33:00 PM,9/23/2024,12:33:31,1266534.054,2806267.89,9/23/2024,12:32:38,00:00.0,HA,231000039735,M3,<Null>,<Null>,<Null>
7,Point,9/23/2024 12:33:00 PM,9/23/2024,12:33:33,1266534.054,2806267.89,9/23/2024,12:32:39,00:00.1,HA,230000111566,M3,<Null>,<Null>,<Null>
8,Point,9/23/2024 12:33:00 PM,9/23/2024,12:33:52,1266534.054,2806267.89,9/23/2024,12:32:59,00:00.0,HA,230000111686,M3,<Null>,<Null>,<Null>
9,Point,9/23/2024 12:34:00 PM,9/23/2024,12:34:03,1266533.689,2806314.631,9/23/2024,12:33:09,00:00.0,HA,230000111596,M3,<Null>,<Null>,<Null>
10,Point,9/23/2024 12:34:00 PM,9/23/2024,12:34:16,1266539.881,2806314.68,9/23/2024,12:33:23,00:00.0,HA,231000039738,M3,<Null>,<Null>,<Null>
11,Point,9/23/2024 12:34:00 PM,9/23/2024,12:34:20,1266539.881,2806314.68,9/23/2024,12:33:26,00:00.0,HA,230000111712,M3,<Null>,<Null>,<Null>
12,Point,9/23/2024 12:36:00 PM,9/23/2024,12:36:58,1266545.345,2806361.466,9/23/2024,12:36:04,00:00.0,HA,230000004000,M3,<Null>,<Null>,<Null>
13,Point,9/23/2024 12:45:00 PM,9/23/2024,12:45:27,1266587.964,2806361.799,9/23/2024,12:44:28,00:05.4,HA,230000004000,M3,<Null>,<Null>,<Null>
14,Point,9/23/2024 12:58:00 PM,9/23/2024,12:58:31,1266654.989,2806315.578,9/23/2024,12:57:37,00:00.0,HA,228000607532,M3,<Null>,<Null>,<Null>
15,Point,9/23/2024 01:00:00 PM,9/23/2024,13:00:31,1266545.709,2806314.725,9/23/2024,12:59:37,00:00.0,HA,231000039738,M3,<Null>,<Null>,<Null>
16,Point,9/23/2024 01:00:00 PM,9/23/2024,13:00:48,1266551.902,2806314.774,9/23/2024,12:59:54,00:00.0,HA,230000111683,M3,<Null>,<Null>,<Null>
17,Point,9/23/2024 01:01:00 PM,9/23/2024,13:01:23,1266570.115,2806314.916,9/23/2024,13:00:29,00:00.0,HA,230000111578,M3,<Null>,<Null>,<Null>
18,Point,9/23/2024 01:01:00 PM,9/23/2024,13:01:30,1266576.308,2806314.964,9/23/2024,13:00:36,00:00.0,HA,228000607513,M3,<Null>,<Null>,<Null>
19,Point,9/23/2024 01:01:00 PM,9/23/2024,13:01:33,1266582.136,2806315.009,9/23/2024,13:00:39,00:00.5,HA,230000111578,M3,<Null>,<Null>,<Null>
20,Point,9/23/2024 01:01:00 PM,9/23/2024,13:01:47,1266588.328,2806315.058,9/23/2024,13:00:53,00:00.0,HA,230000111717,M3,<Null>,<Null>,<Null>
21,Point,9/23/2024 01:01:00 PM,9/23/2024,13:01:54,1266594.521,2806315.106,9/23/2024,13:00:58,00:02.4,HA,230000111717,M3,<Null>,<Null>,<Null>
22,Point,9/23/2024 01:02:00 PM,9/23/2024,13:02:01,1266600.349,2806315.151,9/23/2024,13:01:07,00:00.0,HA,230000111562,M3,<Null>,<Null>,<Null>
