DeployID,TagID,RecapID,RecapID_Clean,Size (mm),RiffleID,Site,SurveyID,Date,DetectionType,Notes
50300,209000133204,NA,NA,64,GA1,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50301,231000039712,NA,NA,32,GA1,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50302,209000133209,NA,NA,128,GA1,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50303,209000133181,NA,NA,90,GA1,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50304,226001370216,NA,NA,16,GA1,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50305,230000298006,NA,NA,256,GA1,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50306,209000133155,NA,NA,90,GA1,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50307,231000039751,NA,NA,32,GA1,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50308,209000133126,NA,NA,128,GA1,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50309,209000133194,NA,NA,64,GA1,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50310,209000133134,NA,NA,64,GA2,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50311,226001370200,NA,NA,16,GA2,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50312,209000133192,NA,NA,128,GA2,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50313,231000039706,NA,NA,32,GA2,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50314,209000133185,NA,NA,64,GA3,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50315,226001370294,NA,NA,32,GA3,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50316,209000133175,NA,NA,128,GA3,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50317,209000133130,NA,NA,64,GA4,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50318,226001370293,NA,NA,16,GA4,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50319,209000133137,NA,NA,90,GA4,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50320,209000133179,NA,NA,64,GA4,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50321,209000133147,NA,NA,64,GA5,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50322,230000298016,NA,NA,256,GA5,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50323,226001370275,NA,NA,32,GA5,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50324,209000133187,NA,NA,90,GA5,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50325,209000133183,NA,NA,64,GA6,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50326,209000133110,NA,NA,128,GA6,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50327,226001370330,NA,NA,16,GA6,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50328,209000133191,NA,NA,64,GA6,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50329,209000133151,NA,NA,64,GA6,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50330,226001370205,NA,NA,32,Overflow 1C,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50331,226001370222,NA,NA,16,Overflow 1C,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50332,226001370230,NA,NA,32,Overflow 1C,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50333,226001370203,NA,NA,16,Overflow 1C,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50334,226001370236,NA,NA,32,Overflow 1C,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50335,226001370259,NA,NA,16,Overflow 1A,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50336,226001370291,NA,NA,32,Overflow 1A,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50337,226001370397,NA,NA,16,Overflow 1A,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50338,231000039741,NA,NA,32,Overflow 1A,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
