"Point","E","N","Elevation","Code","SurveyID","Date","Period","TagID","RiffleID","Site","TagSize_mm","A_Axis_mm","B_Axis_mm","C_Axis_mm","Gravelometer_mm","Weight_g","Particle_Class","Size_Class","Field_Movement","Hiding","Embedded","Buried","DetectionType","allNotes"
51300,2806339.83,1266540.49,"7460.25","PITRCK","Relocate 2025","9/16/2025","After",230000111712,"1","Riffle 1",32,176,113,74,"128",2062,"Cobble","SC2",0,0,0,0,"Trimble",""
51301,2806340.35,1266546.54,"7459","PITRCK","Relocate 2025","9/16/2025","After",231000039738,"1","Riffle 1",14,45,34,23,"32",53.5,"Gravel","CG2",0,0,0,1,"Trimble"," Approximate recap location."
51302,2806338.28,1266554.27,"7458.66","PITRCK","Relocate 2025","9/16/2025","After",230000111683,"1","Riffle 1",32,132,90,80,"128",1427,"Cobble","SC2",0,0,0,1,"Trimble"," Approximate recap location."
51303,2806064.48,1266520.15,"7456.88","PITRCK","Relocate 2025","9/16/2025","After",231000039714,"1","Riffle 1",14,55,24,20,"32",52.5,"Gravel","CG2",0,0,0,0,"Trimble",""
51305,2806331.49,1266566.36,"7459.28","PITRCK","Relocate 2025","9/16/2025","After",230000111708,"1","Riffle 1",32,181,124,84,"128",2277,"Cobble","SC2",0,0,0,0,"Trimble",""
51307,2806333.56,1266578.16,"7459.73","PITRCK","Relocate 2025","9/16/2025","After",230000111578,"1","Riffle 1",32,374,275,144,">256",19700,"Boulder","SB1",0,0,0,0,"Trimble",""
51308,2806328.94,1266581.22,"7459","PITRCK","Relocate 2025","9/16/2025","After",228000607513,"1","Riffle 1",23,91,60,38,"64",273,"Gravel","VCG2",0,0,0,1,"Trimble"," Approximate recap location."
51309,2806313.77,1266585.77,"7458.71","PITRCK","Relocate 2025","9/16/2025","After",226001370256,"1","Riffle 1",12,20,17,7,"16",2.964,"Gravel","MG2",0,0,0,1,"Trimble"," Approximate recap location."
51310,2806334.84,1266594.6,"7459.37","PITRCK","Relocate 2025","9/16/2025","After",230000111717,"1","Riffle 1",32,135,93,59,"90",1398,"Cobble","SC1",0,0,0,0,"Trimble",""
51311,2805607.47,1266527.9,"7458.6","PITRCK","Relocate 2025","9/16/2025","After",231000039702,"1","Riffle 1",14,42,38,25,"32",42,"Gravel","CG2",0,0,0,1,"Trimble"," Approximate recap location."
51312,2806332.46,1266607.87,"7459.02","PITRCK","Relocate 2025","9/16/2025","After",230000111562,"1","Riffle 1",32,197,169,68,"180",3575,"Cobble","LC1",0,1,0,0,"Trimble",""
51313,2806326.74,1266611.9,"7459.23","PITRCK","Relocate 2025","9/16/2025","After",230000111746,"1","Riffle 1",32,111,68,59,"90",775,"Cobble","SC1",0,0,0,0,"Trimble",""
51314,2806330.54,1266620.33,"7459.77","PITRCK","Relocate 2025","9/16/2025","After",230000111725,"1","Riffle 1",32,312,245,140,"256",18500,"Cobble","LC2",0,0,0,0,"Trimble",""
51316,2806208.88,1266599.15,"7457.95","PITRCK","Relocate 2025","9/16/2025","After",230000111631,"1","Riffle 1",32,97,56,50,"64",363,"Gravel","VCG2",0,0,0,0,"Trimble",""
51317,2806267.56,1266622.23,"7458.11","PITRCK","Relocate 2025","9/16/2025","After",228000607546,"1","Riffle 1",23,97,71,35,"64",338,"Gravel","VCG2",0,0,0,0,"Trimble",""
51318,2806328.93,1266653.79,"7459.33","PITRCK","Relocate 2025","9/16/2025","After",228000607532,"1","Riffle 1",23,90,55,42,"64",446,"Gravel","VCG2",0,1,0,0,"Trimble",""
