DeployID,TagID,RecapID,RecapID_Clean,Size (mm),Location,SurveyID,Date,Notes
51087,209000132715,,,23,Riffle 0,Deploy 2024_10,,
51031,209000132717,,,23,Riffle 0,Deploy 2024_10,,
51069,209000132718,,,23,Riffle 0,Deploy 2024_10,,
51023,209000132719,,,23,Riffle 0,Deploy 2024_10,,
51047,209000132724,,,23,Riffle 0,Deploy 2024_10,,
51049,209000132728,,,23,Riffle 0,Deploy 2024_10,,
51060,209000132746,,,23,Riffle 0,Deploy 2024_10,,
51094,209000132755,,,23,Riffle 0,Deploy 2024_10,,
51025,209000132778,,,23,Riffle 0,Deploy 2024_10,,
51071,209000132788,,,23,Riffle 0,Deploy 2024_10,,
51005,209000132794,,,23,Riffle 0,Deploy 2024_10,,
51003,209000132800,,,23,Riffle 0,Deploy 2024_10,,
51063,209000133124,,,23,Riffle 0,Deploy 2024_10,,
51045,209000133128,,,23,Riffle 0,Deploy 2024_10,,
51080,209000133163,,,23,Riffle 0,Deploy 2024_10,,
51009,209000133171,,,23,Riffle 0,Deploy 2024_10,,
51033,209000133200,,,23,Riffle 0,Deploy 2024_10,,
51021,209000133207,,,23,Riffle 0,Deploy 2024_10,,
51084,226001370209,,,12,Riffle 0,Deploy 2024_10,,
51098,226001370227,,,14,Riffle 0,Deploy 2024_10,,
51082,226001370231,,,12,Riffle 0,Deploy 2024_10,,
51024,226001370238,,,12,Riffle 0,Deploy 2024_10,,
51050,226001370239,,,12,Riffle 0,Deploy 2024_10,,
51018,226001370245,,,12,Riffle 0,Deploy 2024_10,,
51046,226001370251,,,12,Riffle 0,Deploy 2024_10,,
51061,226001370255,,,12,Riffle 0,Deploy 2024_10,,
51059,226001370274,,,12,Riffle 0,Deploy 2024_10,,
51077,226001370279,,,12,Riffle 0,Deploy 2024_10,,
51016,226001370287,,,12,Riffle 0,Deploy 2024_10,,
51086,226001370288,,,12,Riffle 0,Deploy 2024_10,,
51022,226001370290,,,12,Riffle 0,Deploy 2024_10,,
51011,226001370295,,,12,Riffle 0,Deploy 2024_10,,
51013,226001370301,,,12,Riffle 0,Deploy 2024_10,,
51028,226001370302,,,12,Riffle 0,Deploy 2024_10,,
51054,226001370305,,,12,Riffle 0,Deploy 2024_10,,
51040,226001370307,,,12,Riffle 0,Deploy 2024_10,,
51095,226001370320,,,12,Riffle 0,Deploy 2024_10,,
51078,226001370323,,,12,Riffle 0,Deploy 2024_10,,
51053,226001370328,,,12,Riffle 0,Deploy 2024_10,,
51036,226001370336,,,12,Riffle 0,Deploy 2024_10,,
51072,226001370347,,,12,Riffle 0,Deploy 2024_10,,
51075,226001370354,,,12,Riffle 0,Deploy 2024_10,,
51020,226001370357,,,12,Riffle 0,Deploy 2024_10,,
51056,226001370358,,,12,Riffle 0,Deploy 2024_10,,
51048,226001370362,,,12,Riffle 0,Deploy 2024_10,,
51093,226001370369,,,12,Riffle 0,Deploy 2024_10,,
51038,226001370371,,,12,Riffle 0,Deploy 2024_10,,
51015,226001370381,,,12,Riffle 0,Deploy 2024_10,,
51032,226001370384,,,12,Riffle 0,Deploy 2024_10,,
51026,226001370393,,,12,Riffle 0,Deploy 2024_10,,
51041,226001370399,,,12,Riffle 0,Deploy 2024_10,,
51043,228000607501,,,23,Riffle 0,Deploy 2024_10,,
51097,228000607502,,,23,Riffle 0,Deploy 2024_10,,
51004,228000607510,,,23,Riffle 0,Deploy 2024_10,,
51070,228000607515,,,23,Riffle 0,Deploy 2024_10,,
51029,228000607536,,,23,Riffle 0,Deploy 2024_10,,
51019,228000607551,,,23,Riffle 0,Deploy 2024_10,,
51001,228000607556,,,23,Riffle 0,Deploy 2024_10,,
51042,228000607559,,,23,Riffle 0,Deploy 2024_10,,
51044,228000607562,,,23,Riffle 0,Deploy 2024_10,,
51052,228000607566,,,23,Riffle 0,Deploy 2024_10,,
51096,230000111503,,,32,Riffle 0,Deploy 2024_10,,
51014,230000111516,,,32,Riffle 0,Deploy 2024_10,,
51073,230000111517,,,32,Riffle 0,Deploy 2024_10,,
51010,230000111521,,,32,Riffle 0,Deploy 2024_10,,
51017,230000111525,,,32,Riffle 0,Deploy 2024_10,,
51002,230000111531,,,32,Riffle 0,Deploy 2024_10,,
51051,230000111532,,,32,Riffle 0,Deploy 2024_10,,
51099,230000111535,,,23,Riffle 0,Deploy 2024_10,,
51037,230000111544,,,32,Riffle 0,Deploy 2024_10,,
51055,230000111549,,,32,Riffle 0,Deploy 2024_10,,
51090,230000111552,,,32,Riffle 0,Deploy 2024_10,,
51081,230000111556,,,32,Riffle 0,Deploy 2024_10,,
51068,230000111577,,,32,Riffle 0,Deploy 2024_10,,
51027,230000111595,,,32,Riffle 0,Deploy 2024_10,,
51066,230000111609,,,32,Riffle 0,Deploy 2024_10,,
51065,230000111615,,,32,Riffle 0,Deploy 2024_10,,
51079,230000111618,,,32,Riffle 0,Deploy 2024_10,,
51035,230000111623,,,32,Riffle 0,Deploy 2024_10,,
51092,230000111641,,,32,Riffle 0,Deploy 2024_10,,
51085,230000111642,,,32,Riffle 0,Deploy 2024_10,,
