OBJECTID,Point,N,E,Elevation,Code,SurveyID
1,50400,1266540.374,2806339.1,7460.074,PITRCK,Relocate 2023
2,50401,1266546.73,2806339.879,7458.647,PITRCK,Relocate 2023
3,50402,1266553.478,2806337.805,7458.421,PITRCK,Relocate 2023
4,50403,1266556.155,2806327.786,7459.145,PITRCK,Relocate 2023
5,50405,1266566.311,2806331.53,7459.142,PITRCK,Relocate 2023
6,50407,1266578.191,2806333.676,7459.827,PITRCK,Relocate 2023
7,50408,1266581.39,2806329.044,7459.046,PITRCK,Relocate 2023
8,50410,1266594.563,2806334.926,7459.295,PITRCK,Relocate 2023
9,50411,1266597.117,2806322.899,7459.167,PITRCK,Relocate 2023
10,50412,1266607.814,2806332.569,7458.953,PITRCK,Relocate 2023
11,50413,1266614.74,2806330.891,7459.298,PITRCK,Relocate 2023
12,50414,1266620.722,2806330.738,7459.838,PITRCK,Relocate 2023
13,50416,1266623.293,2806285.924,7458.628,PITRCK,Relocate 2023
14,50417,1266625.483,2806272.696,7458.94,PITRCK,Relocate 2023
15,50418,1266654.112,2806329.297,7459.306,PITRCK,Relocate 2023
16,50420,1266539.092,2806316.267,7459.849,PITRCK,Relocate 2023
17,50422,1266549.856,2806307.544,7458.239,PITRCK,Relocate 2023
18,50423,1266537.184,2806161.192,7457.203,PITRCK,Relocate 2023
19,50424,1266557.396,2806308.861,7458.596,PITRCK,Relocate 2023
20,50426,1266573.468,2806314.448,7459.324,PITRCK,Relocate 2023
21,50427,1266586.042,2806312.293,7458.37,PITRCK,Relocate 2023
22,50428,1266592.491,2806304.414,7459,PITRCK,Relocate 2023
23,50429,1266599.801,2806311.673,7460.027,PITRCK,Relocate 2023
24,50430,1266583.109,2806219.419,7457.752,PITRCK,Relocate 2023
25,50431,1266615.186,2806308.492,7458.669,PITRCK,Relocate 2023
26,50432,1266595.796,2806230.331,7458.044,PITRCK,Relocate 2023
27,50433,1266626.132,2806304.262,7458.763,PITRCK,Relocate 2023
28,50434,1266626.129,2806283.799,7458.457,PITRCK,Relocate 2023
29,50435,1266640.253,2806306.568,7458.989,PITRCK,Relocate 2023
30,50436,1266642.94,2806293.183,7457.978,PITRCK,Relocate 2023
31,50437,1266653.568,2806303.924,7458.947,PITRCK,Relocate 2023
32,50438,1266660.492,2806300.82,7459.284,PITRCK,Relocate 2023
33,50440,1266541.028,2806299.823,7459.294,PITRCK,Relocate 2023
34,50442,1266551.991,2806298.207,7459.004,PITRCK,Relocate 2023
35,50443,1266560.603,2806297.354,7458.402,PITRCK,Relocate 2023
36,50444,1266567.275,2806286.622,7459.172,PITRCK,Relocate 2023
37,50446,1266584.503,2806293.325,7458.728,PITRCK,Relocate 2023
38,50447,1266594.094,2806293.312,7458.557,PITRCK,Relocate 2023
39,50448,1266598.916,2806286.37,7458.651,PITRCK,Relocate 2023
40,50449,1266605.324,2806275.905,7458.571,PITRCK,Relocate 2023
41,50450,1266613.698,2806290.087,7459.071,PITRCK,Relocate 2023
42,50451,1266621.857,2806289.375,7458.219,PITRCK,Relocate 2023
43,50452,1266606.22,2806244.854,7458.303,PITRCK,Relocate 2023
44,50453,1266625.431,2806267.593,7458.63,PITRCK,Relocate 2023
45,50454,1266635.513,2806283.068,7458.487,PITRCK,Relocate 2023
46,50455,1266646.147,2806288.335,7458.377,PITRCK,Relocate 2023
47,50456,1266651.097,2806288.697,7458.769,PITRCK,Relocate 2023
48,50457,1266654.721,2806288.471,7458.978,PITRCK,Relocate 2023
49,50458,1266658.717,2806286.375,7459.143,PITRCK,Relocate 2023
50,50459,1266662.966,2806287.742,7459.191,PITRCK,Relocate 2023
51,50460,1266532.486,2806255.5,7458.955,PITRCK,Relocate 2023
52,50461,1266537.789,2806257.618,7458.63,PITRCK,Relocate 2023
53,50462,1266542.235,2806257.512,7458.731,PITRCK,Relocate 2023
54,50463,1266542.085,2806196.704,7457.758,PITRCK,Relocate 2023
55,50464,1266539.012,2805784.354,7458.033,PITRCK,Relocate 2023
56,50465,1266560.162,2806253.385,7459.463,PITRCK,Relocate 2023
57,50466,1266566.987,2806240.474,7458.484,PITRCK,Relocate 2023
58,50467,1266564.747,2806218.861,7457.986,PITRCK,Relocate 2023
59,50468,1266580.638,2806251.012,7458.412,PITRCK,Relocate 2023
60,50469,1266583.38,2806248.862,7458.431,PITRCK,Relocate 2023
61,50471,1266595.746,2806247.951,7458.506,PITRCK,Relocate 2023
