OBJECTID,Point,E,N,Elevation,Code,OldPoint,DetectM34,Delete_
1,50700,2806340.139956131577492,1266540.500000000000000,7460.449999999999818,PITRCK,,,
2,50701,2806340.099929973483086,1266546.659999999916181,7458.859999999999673,PITRCK,,,
3,50702,2806337.519882634282112,1266553.090000000083819,7458.359999999999673,PITRCK,,,
4,50703,2806064.460061296820641,1266520.040000000037253,7456.989999999999782,PITRCK,,,
5,50705,2806331.510052144527435,1266566.219999999972060,7459.220000000000255,PITRCK,,,
6,50707,2806333.539903715252876,1266578.159999999916181,7459.800000000000182,PITRCK,,,
7,50708,2806329.099951967597008,1266581.429999999934807,7459.039999999999964,PITRCK,,,
8,50709,2806313.680035308003426,1266585.800000000046566,7458.569999999999709,PITRCK,,,
9,50710,2806334.900137215852737,1266594.600000000093132,7459.319999999999709,PITRCK,,,
10,50711,2805607.379938721656799,1266527.709999999962747,7458.550000000000182,PITRCK,,,
11,50712,2806332.459853380918503,1266607.760000000009313,7459.039999999999964,PITRCK,,,
12,50713,2806326.639983132481575,1266611.820000000065193,7459.189999999999600,PITRCK,,,
13,50714,2806330.479870468378067,1266620.689999999944121,7459.880000000000109,PITRCK,,,
14,50716,2806208.900061130523682,1266599.189999999944121,7457.989999999999782,PITRCK,,,
15,50717,2806267.419957220554352,1266622.439999999944121,7458.229999999999563,PITRCK,,,
16,50718,2806329.189846798777580,1266654.050000000046566,7459.409999999999854,PITRCK,,,
17,50720,2806314.039942726492882,1266538.659999999916181,7459.670000000000073,PITRCK,,,
18,50721,2805553.360033631324768,1266496.739999999990687,7456.779999999999745,PITRCK,,,
19,50722,2806307.530113220214844,1266549.879999999888241,7458.409999999999854,PITRCK,,,
20,50723,2806120.470119893550873,1266531.199999999953434,7456.949999999999818,PITRCK,,,
21,50724,2806309.050123304128647,1266556.830000000074506,7458.579999999999927,PITRCK,,,
22,50728,2806304.340158969163895,1266592.520000000018626,7459.039999999999964,PITRCK,,,
23,50729,2806311.780104726552963,1266599.719999999972060,7459.970000000000255,PITRCK,,,
24,50731,2806271.740158557891846,1266620.929999999934807,7458.640000000000327,PITRCK,,,
25,50733,2806304.169883728027344,1266626.229999999981374,7458.760000000000218,PITRCK,,,
26,50734,2806259.680143311619759,1266616.590000000083819,7458.539999999999964,PITRCK,,,
27,50736,2806293.140050143003464,1266643.030000000027940,7457.920000000000073,PITRCK,,,
28,50737,2806303.720081478357315,1266653.399999999906868,7458.989999999999782,PITRCK,,,
29,50738,2806300.459917381405830,1266660.129999999888241,7459.170000000000073,PITRCK,,,
30,50739,2806108.229986891150475,1266588.919999999925494,7457.350000000000364,PITRCK,,,
31,50740,2806299.789971217513084,1266541.679999999934807,7459.029999999999745,PITRCK,,,
32,50741,2806214.340010881423950,1266536.209999999962747,7458.039999999999964,PITRCK,,,
33,50743,2806297.479936465620995,1266560.379999999888241,7458.350000000000364,PITRCK,,,
34,50744,2806285.990130051970482,1266569.030000000027940,7458.810000000000400,PITRCK,,,
35,50746,2806293.350023478269577,1266584.560000000055879,7458.779999999999745,PITRCK,,,
36,50747,2806293.319839805364609,1266594.050000000046566,7458.460000000000036,PITRCK,,,
37,50748,2806286.339866891503334,1266599.030000000027940,7458.640000000000327,PITRCK,,,
