Point,E,N,Elevation,Code,SurveyID,Date,Period,TagID,RiffleID,TagSize_mm,A_Axis_mm,B_Axis_mm,C_Axis_mm,Gravelometer_mm,Weight_g,Particle_Class,Size_Class,Field_Movement,Hiding,Embedded,Buried,Notes
1,2808312.77,1264864.07,7578.04,OPUS,Control,NA,Before,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2808314.84,1264871.38,7577.88,ADCP,Control,NA,Before,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2811199.65,1260385.32,7593.03,CP10,Control,NA,Before,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,2802150.94,1268070.35,7545.37,CP20,Control,NA,Before,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,2802170.07,1266333.87,7531.41,OPUS,Control,NA,Before,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,2807709.89,1265975.38,7541.3,CP40,Control,NA,Before,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2806859.51,1265764.07,7575.91,CP50,Control,NA,Before,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,2806338.35,1266549.07,7459.64,PITRCK,Deploy 2019,4/16/2019,Before,230000111558,1,32,145,118,52,128,1424,Cobble,SC2,NA,NA,NA,NA,NA
101,2806337.85,1266557.87,7458.87,PITRCK,Deploy 2019,4/16/2019,Before,230000111677,1,32,90,78,69,90,608,Cobble,SC1,NA,NA,NA,NA,NA
102,2806337.99,1266564.83,7459.02,PITRCK,Deploy 2019,4/16/2019,Before,230000111624,1,32,157,152,82,180,2584,Cobble,LC1,NA,NA,NA,NA,NA
103,2806336.99,1266571.76,7459.13,PITRCK,Deploy 2019,4/16/2019,Before,228000607573,1,23,102,61,48,64,550,Gravel,VCG2,NA,NA,NA,NA,NA
104,2806336.10,1266579.65,7459.61,PITRCK,Deploy 2019,4/16/2019,Before,230000111731,1,32,145,98,56,128,1335,Cobble,SC2,NA,NA,NA,NA,NA
105,2806334.78,1266585.24,7459.63,PITRCK,Deploy 2019,4/16/2019,Before,230000111736,1,32,155,109,66,128,1789,Cobble,SC2,NA,NA,NA,NA,NA
106,2806333.74,1266591.80,7459.49,PITRCK,Deploy 2019,4/16/2019,Before,230000111684,1,32,198,117,64,128,2248,Cobble,SC2,NA,NA,NA,NA,NA
107,2806332.65,1266599.07,7459.46,PITRCK,Deploy 2019,4/16/2019,Before,230000111541,1,32,356,290,138,>256,14100,Boulder,SB1,NA,NA,NA,NA,NA
108,2806332.72,1266606.54,7459.41,PITRCK,Deploy 2019,4/16/2019,Before,228000607534,1,23,70,63,55,64,654,Gravel,VCG2,NA,NA,NA,NA,NA
109,2806333.19,1266613.82,7459.18,PITRCK,Deploy 2019,4/16/2019,Before,228000607505,1,23,94,61,41,64,336,Gravel,VCG2,NA,NA,NA,NA,NA
110,2806333.57,1266618.41,7459.27,PITRCK,Deploy 2019,4/16/2019,Before,230000111683,1,32,132,90,80,128,1427,Cobble,SC2,NA,NA,NA,NA,NA
111,2806334.39,1266624.72,7459.23,PITRCK,Deploy 2019,4/16/2019,Before,230000111737,1,32,169,138,82,128,2929,Cobble,SC2,NA,NA,NA,NA,NA
112,2806334.37,1266629.83,7458.94,PITRCK,Deploy 2019,4/16/2019,Before,230000111641,1,32,124,104,56,90,1093,Cobble,SC1,NA,NA,NA,NA,NA
113,2806333.94,1266635.21,7458.83,PITRCK,Deploy 2019,4/16/2019,Before,228000607513,1,23,91,60,38,64,273,Gravel,VCG2,NA,NA,NA,NA,NA
114,2806335.24,1266641.13,7458.99,PITRCK,Deploy 2019,4/16/2019,Before,230000111644,1,32,135,93,72,90,1442,Cobble,SC1,NA,NA,NA,NA,NA
115,2806335.46,1266645.68,7458.9,PITRCK,Deploy 2019,4/16/2019,Before,230000111632,1,32,124,96,53,90,802,Cobble,SC1,NA,NA,NA,NA,NA
116,2806335.36,1266650.10,7458.97,PITRCK,Deploy 2019,4/16/2019,Before,230000111695,1,32,120,97,77,90,1034,Cobble,SC1,NA,NA,NA,NA,NA
117,2806335.16,1266655.93,7459.03,PITRCK,Deploy 2019,4/16/2019,Before,228000607532,1,23,90,55,42,64,446,Gravel,VCG2,NA,NA,NA,NA,NA
118,2806335.19,1266661.89,7459.04,PITRCK,Deploy 2019,4/16/2019,Before,230000111631,1,32,97,56,50,64,363,Gravel,VCG2,NA,NA,NA,NA,NA
119,2806335.50,1266668.70,7459.17,PITRCK,Deploy 2019,4/16/2019,Before,230000111689,1,32,141,84,37,90,888,Cobble,SC1,NA,NA,NA,NA,NA
120,2806318.27,1266549.64,7459.1,PITRCK,Deploy 2019,4/16/2019,Before,228000607533,1,23,89,65,52,64,400,Gravel,VCG2,NA,NA,NA,NA,NA
121,2806317.66,1266555.58,7458.92,PITRCK,Deploy 2019,4/16/2019,Before,230000111712,1,32,176,113,74,128,2062,Cobble,SC2,NA,NA,NA,NA,NA
122,2806316.97,1266563.16,7458.94,PITRCK,Deploy 2019,4/16/2019,Before,230000111534,1,32,157,135,130,180,3638,Cobble,LC1,NA,NA,NA,NA,NA
123,2806316.37,1266570.34,7459.02,PITRCK,Deploy 2019,4/16/2019,Before,228000607520,1,23,90,64,52,64,543,Gravel,VCG2,NA,NA,NA,NA,NA
124,2806315.88,1266574.82,7459.24,PITRCK,Deploy 2019,4/16/2019,Before,230000111598,1,32,142,104,54,128,1046,Cobble,SC2,NA,NA,NA,NA,NA
125,2806315.80,1266579.91,7459.45,PITRCK,Deploy 2019,4/16/2019,Before,230000111741,1,32,148,100,84,128,1958,Cobble,SC2,NA,NA,NA,NA,NA
126,2806314.69,1266586.05,7459.28,PITRCK,Deploy 2019,4/16/2019,Before,228000607546,1,23,97,71,35,64,338,Gravel,VCG2,NA,NA,NA,NA,NA
127,2806314.18,1266591.64,7459.45,PITRCK,Deploy 2019,4/16/2019,Before,230000111523,1,32,150,109,78,128,1992,Cobble,SC2,NA,NA,NA,NA,NA
128,2806313.80,1266598.22,7459.24,PITRCK,Deploy 2019,4/16/2019,Before,230000111698,1,32,89,82,70,90,771,Cobble,SC1,NA,NA,NA,NA,NA
129,2806314.01,1266601.97,7459.26,PITRCK,Deploy 2019,4/16/2019,Before,230000111643,1,32,184,125,58,128,2352,Cobble,SC2,NA,NA,NA,NA,NA
130,2806313.43,1266606.87,7458.9,PITRCK,Deploy 2019,4/16/2019,Before,228000607537,1,23,95,61,35,64,458,Gravel,VCG2,NA,NA,NA,NA,NA
131,2806313.09,1266612.36,7459.07,PITRCK,Deploy 2019,4/16/2019,Before,230000111734,1,32,120,104,64,128,1233,Cobble,SC2,NA,NA,NA,NA,NA
132,2806312.17,1266617.29,7459.05,PITRCK,Deploy 2019,4/16/2019,Before,230000111651,1,32,117,111,49,90,767,Cobble,SC1,NA,NA,NA,NA,NA
133,2806311.09,1266623.33,7459.25,PITRCK,Deploy 2019,4/16/2019,Before,230000111733,1,32,303,265,148,>256,15900,Boulder,SB1,NA,NA,NA,NA,NA
134,2806310.15,1266628.95,7459,PITRCK,Deploy 2019,4/16/2019,Before,230000111679,1,32,141,105,79,128,1381,Cobble,SC2,NA,NA,NA,NA,NA
135,2806310.59,1266634.94,7458.92,PITRCK,Deploy 2019,4/16/2019,Before,230000111623,1,32,136,109,36,90,858,Cobble,SC1,NA,NA,NA,NA,NA
136,2806309.14,1266639.93,7458.87,PITRCK,Deploy 2019,4/16/2019,Before,230000111615,1,32,134,115,42,128,986,Cobble,SC2,NA,NA,NA,NA,NA
137,2806309.54,1266647.36,7458.92,PITRCK,Deploy 2019,4/16/2019,Before,230000111544,1,32,86,73,51,90,518,Cobble,SC1,NA,NA,NA,NA,NA
138,2806308.67,1266656.32,7459.17,PITRCK,Deploy 2019,4/16/2019,Before,230000111550,1,32,107,91,42,90,571,Cobble,SC1,NA,NA,NA,NA,NA
139,2806299.50,1266549.74,7458.93,PITRCK,Deploy 2019,4/16/2019,Before,228000607541,1,23,91,64,40,64,398,Gravel,VCG2,NA,NA,NA,NA,NA
140,2806298.74,1266555.68,7458.63,PITRCK,Deploy 2019,4/16/2019,Before,230000111517,1,32,142,136,46,128,1173,Cobble,SC2,NA,NA,NA,NA,NA
141,2806298.60,1266560.32,7458.69,PITRCK,Deploy 2019,4/16/2019,Before,230000111708,1,32,181,124,84,128,2277,Cobble,SC2,NA,NA,NA,NA,NA
142,2806297.09,1266565.10,7458.73,PITRCK,Deploy 2019,4/16/2019,Before,228000607524,1,23,86,68,54,64,562,Gravel,VCG2,NA,NA,NA,NA,NA
143,2806296.31,1266570.34,7458.86,PITRCK,Deploy 2019,4/16/2019,Before,230000111668,1,32,177,112,67,128,1929,Cobble,SC2,NA,NA,NA,NA,NA
144,2806295.19,1266576.79,7459.26,PITRCK,Deploy 2019,4/16/2019,Before,230000111510,1,32,460,230,125,256,17100,Cobble,LC2,NA,NA,NA,NA,NA
145,2806294.74,1266583.98,7459.16,PITRCK,Deploy 2019,4/16/2019,Before,228000607516,1,23,81,63,55,64,514,Gravel,VCG2,NA,NA,NA,NA,NA
146,2806294.62,1266589.50,7458.95,PITRCK,Deploy 2019,4/16/2019,Before,230000111595,1,32,158,98,49,90,939,Cobble,SC1,NA,NA,NA,NA,NA
147,2806293.26,1266596.28,7459,PITRCK,Deploy 2019,4/16/2019,Before,230000111676,1,32,145,84,71,90,1337,Cobble,SC1,NA,NA,NA,NA,NA
148,2806292.44,1266601.59,7459.09,PITRCK,Deploy 2019,4/16/2019,Before,230000111735,1,32,141,117,56,128,1706,Cobble,SC2,NA,NA,NA,NA,NA
