TagID,B_Axis_ft,Distance_ft,SurveyID
230000111684,0.384,7.61,Relocate 2019
228000607534,0.207,10.43,Relocate 2019
230000111683,0.295,2.75,Relocate 2019
228000607513,0.197,0.39,Relocate 2019
230000111644,0.305,0.98,Relocate 2019
230000111632,0.315,4.02,Relocate 2019
230000111631,0.184,1.00,Relocate 2019
228000607546,0.233,1.33,Relocate 2019
230000111643,0.410,0.68,Relocate 2019
230000111734,0.341,1.53,Relocate 2019
230000111679,0.344,0.37,Relocate 2019
230000111623,0.358,0.43,Relocate 2019
230000111708,0.407,6.47,Relocate 2019
230000111595,0.322,6.88,Relocate 2019
230000111676,0.276,0.35,Relocate 2019
230000111686,0.256,7.45,Relocate 2019
230000111728,0.404,0.94,Relocate 2019
230000111594,0.220,0.37,Relocate 2019
230000111717,0.305,1.85,Relocate 2019
228000607577,0.217,3.56,Relocate 2019
230000111636,0.318,0.85,Relocate 2019
230000111592,0.371,0.48,Relocate 2019
228000607565,0.190,5.05,Relocate 2019
230000111525,0.282,0.36,Relocate 2019
230000111578,0.902,1.66,Relocate 2019
230000111555,0.233,9.38,Relocate 2019
230000111746,0.223,0.88,Relocate 2019
230000111707,0.322,0.76,Relocate 2019
230000111607,0.328,2.77,Relocate 2019
230000111567,0.341,0.40,Relocate 2019
230000111648,0.289,0.71,Relocate 2019
228000607517,0.184,0.47,Relocate 2019
228000607507,0.148,0.66,Relocate 2019
230000111562,0.554,0.96,Relocate 2019
228000607552,0.210,1.58,Relocate 2019
230000111700,0.269,6.68,Relocate 2019
230000111521,0.272,0.91,Relocate 2019
230000111516,0.315,11.25,Relocate 2019
228000607535,0.177,0.72,Relocate 2019
230000111545,0.233,2.23,Relocate 2019
230000111540,0.269,6.57,Relocate 2019
230000111506,0.354,0.52,Relocate 2019
230000111667,0.374,3.56,Relocate 2019
230000111596,0.240,3.25,Relocate 2019
228000607571,0.233,7.52,Relocate 2019
230000111646,0.253,0.31,Relocate 2019
230000111681,0.213,9.36,Relocate 2019
228000607576,0.210,1.96,Relocate 2019
230000111601,0.377,1.03,Relocate 2019
230000111723,0.292,0.46,Relocate 2019
230000111657,0.236,1.34,Relocate 2019
230000111703,0.279,0.44,Relocate 2019
230000111618,0.354,2.19,Relocate 2019
230000111654,0.344,0.69,Relocate 2019
230000111627,0.262,0.59,Relocate 2019
230000111583,0.200,1.19,Relocate 2019
230000111619,0.210,0.70,Relocate 2019
230000111713,0.282,1.03,Relocate 2019
230000111685,0.315,0.37,Relocate 2019
230000111599,0.394,0.86,Relocate 2019
230000111675,0.292,0.41,Relocate 2019
228000607528,0.226,0.96,Relocate 2019
230000111670,0.262,1.40,Relocate 2019
230000111739,0.282,0.72,Relocate 2019
230000111697,0.292,0.42,Relocate 2019
230000111730,0.374,1.31,Relocate 2019
230000111671,0.305,0.51,Relocate 2019
230000111526,0.331,0.61,Relocate 2019
228000607564,0.210,0.42,Relocate 2019
230000111705,0.276,0.53,Relocate 2019
230000111586,0.318,1.60,Relocate 2019
228000607561,0.174,3.51,Relocate 2019
230000111655,0.223,4.10,Relocate 2019
230000111738,0.361,0.47,Relocate 2019
228000607548,0.180,0.76,Relocate 2019
230000111564,0.279,0.40,Relocate 2019
230000111719,0.361,0.79,Relocate 2019
230000111603,0.410,3.43,Relocate 2019
230000111645,0.331,0.77,Relocate 2019
228000607547,0.230,0.58,Relocate 2019
230000111504,0.420,0.60,Relocate 2019
230000111572,0.341,2.04,Relocate 2019
230000111538,0.413,3.37,Relocate 2019
228000607539,0.207,0.59,Relocate 2019
230000111694,0.358,0.49,Relocate 2019
228000607514,0.210,1.70,Relocate 2019
