Point,E,N,Elevation,Code,SurveyID,Year,Period,TagID,RiffleID,Site,TagSize_mm,A_Axis_mm,B_Axis_mm,B_Axis_ft,C_Axis_mm,Gravelometer_mm,Weight_g,Particle_Class,Size_Class1,Size_Class2,Distance_ft,Distance_m,Field_Movement,Moved_1PD,Moved_12PD,Hiding,Embedded,Buried,Notes
50501,2803567.18,1266623.05,7448.52,PITRCK,Relocate 2023,2023,After,228000607528,2A,Riffle 2,23,84,69,0.226,41,64,409,Gravel,VCG2,VCG,1050.17,320.093,1,1,1,0,0,1,approximate recap location
50553,2803768.84,1266651.42,7448.67,PITRCK,Relocate 2023,2023,After,230000111669,2B,Riffle 2,32,151,137,0.449,65,128,2083,Cobble,SC2,SC,481.87,146.874,1,1,1,0,0,1,approximate recap location
50559,2803938.68,1266623.81,7451.61,PITRCK,Relocate 2023,2023,After,231000039740,2B,Riffle 2,14,50,33,0.108,20,32,41,Gravel,CG2,CG,308.50,94.029,1,1,1,0,0,1,approximate recap location
50560,2803770.18,1266648.93,7448.75,PITRCK,Relocate 2023,2023,After,209000133190,2B,Riffle 2,23,84,64,0.210,35,64,376.5,Gravel,VCG2,VCG,478.69,145.905,1,1,1,0,0,1,approximate recap location
50567,2803516.68,1266660.07,7448.30,PITRCK,Relocate 2023,2023,After,230000298005,2B,Riffle 2,32,183,158,0.518,100,256,4300,Cobble,LC2,LC,716.43,218.367,1,1,1,0,0,1,approximate recap location
50571,2803754.44,1266647.14,7448.77,PITRCK,Relocate 2023,2023,After,230000111504,2B,Riffle 2,32,166,128,0.420,81,128,2127,Cobble,SC2,SC,476.29,145.173,1,1,1,0,0,1,approximate recap location
50595,2803781.67,1266641.80,7448.77,PITRCK,Relocate 2023,2023,After,230000111638,2B,Riffle 2,32,165,133,0.436,106,128,3239,Cobble,SC2,SC,391.46,119.318,1,1,1,0,0,1,approximate recap location
50597,2803465.58,1266628.95,7448.17,PITRCK,Relocate 2023,2023,After,230000111673,2B,Riffle 2,32,139,96,0.315,75,128,1437,Cobble,SC2,SC,709.66,216.304,1,1,1,0,0,1,approximate recap location
50610,2804794.16,1266584.52,7453.82,PITRCK,Relocate 2023,2023,After,209000133134,GravelAug,GravelAug,23,63,51,0.167,34,64,157,Gravel,VCG2,VCG,151.90,46.301,1,1,1,0,0,1,approximate recap location
50614,2804898.76,1266460.76,7455.42,PITRCK,Relocate 2023,2023,After,209000133185,GravelAug,GravelAug,23,99,63,0.207,40,64,407,Gravel,VCG2,VCG,15.70,4.784,1,1,1,0,0,1,approximate recap location
