"TagID","Period","deployRiffleID","TagSize_mm","A_Axis_mm","B_Axis_mm","C_Axis_mm","Gravelometer_mm","Weight_g","Particle_Class","Size_Class","totalDistance_ft","movementDuration","DeployDate","LastRecapDate","deployID"
209000132715,"After","0",23,340,209,196,">256",27100,"Boulder","SB1",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51087
209000132717,"After","0",23,318,176,124,"180",9300,"Cobble","LC1",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51031
209000132718,"After","0",23,210,149,100,"180",3500,"Cobble","LC1",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51069
209000132719,"After","0",23,246,181,73,"180",4900,"Cobble","LC1",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51023
209000132723,"After","2B",23,207,204,91,"180",5526,"Cobble","LC1",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51263
209000132724,"After","0",23,214,160,80,"180",4700,"Cobble","LC1",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51047
209000132728,"After","0",23,336,224,183,">256",26700,"Boulder","SB1",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51049
209000132730,"After","GA9",23,213,165,116,"180",6700,"Cobble","LC1",17.22,"2024-04-25 to 2024-09-24",2024-04-25,2024-09-24,50354
209000132746,"After","0",23,226,175,143,">256",10700,"Boulder","SB1",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51060
209000132755,"After","0",23,214,173,90,"180",5000,"Cobble","LC1",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51094
209000132759,"After","GA10",23,185,175,98,"180",5000,"Cobble","LC1",5.98,"2024-04-25 to 2024-09-24",2024-04-25,2024-09-24,50367
209000132772,"After","2A",23,186,132,87,"128",3700,"Cobble","SC2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51213
209000132778,"After","0",23,175,147,98,"180",4500,"Cobble","LC1",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51025
209000132788,"After","0",23,212,185,97,"180",3800,"Cobble","LC1",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51071
209000132794,"After","0",23,129,126,110,"180",3000,"Cobble","LC1",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51005
209000132797,"After","2A",23,411,280,220,">256",29700,"Boulder","FALSE",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51218
209000132800,"After","0",23,285,220,197,">256",24100,"Boulder","SB1",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51003
