Point,E,N,Elevation,Code,SurveyID,Date,Period,TagID,RiffleID,TagSize_mm,A_Axis_mm,B_Axis_mm,C_Axis_mm,Gravelometer_mm,Weight_g,Particle_Class,Size_Class,Field_Movement,Hiding,Embedded,Buried,allNotes
50100,2804615.81,1266614.79,7455.83,PITRCK,Deploy 2023,4/24/2023,After,230000111599,2A,32,135,120,75,128,1877,Cobble,SC2,NA,NA,NA,NA,
50101,2804617.26,1266609.34,7455.74,PITRCK,Deploy 2023,4/24/2023,After,228000607528,2A,23,84,69,41,64,409,Gravel,VCG2,NA,NA,NA,NA,
50102,2804617.95,1266602.91,7455.54,PITRCK,Deploy 2023,4/24/2023,After,230000111738,2A,32,140,110,77,128,1999,Cobble,SC2,NA,NA,NA,NA,
50103,2804618.51,1266598.01,7455.09,PITRCK,Deploy 2023,4/24/2023,After,231000039731,2A,14,55,30,21,32,87.5,Gravel,CG2,NA,NA,NA,NA,
50104,2804619.51,1266591.65,7454.64,PITRCK,Deploy 2023,4/24/2023,After,228000607576,2A,23,104,64,43,64,599,Gravel,VCG2,NA,NA,NA,NA,
50105,2804621.51,1266584.92,7455.2,PITRCK,Deploy 2023,4/24/2023,After,230000111634,2A,32,367,215,128,256,16700,Cobble,LC2,NA,NA,NA,NA,
50106,2804623.15,1266578.55,7455.31,PITRCK,Deploy 2023,4/24/2023,After,231000039774,2A,14,45,32,20,32,43.5,Gravel,CG2,NA,NA,NA,NA,
50107,2804624.07,1266573.83,7455.6,PITRCK,Deploy 2023,4/24/2023,After,230000111658,2A,32,90,83,56,90,732,Cobble,SC1,NA,NA,NA,NA,
50108,2804624.69,1266569.85,7455.54,PITRCK,Deploy 2023,4/24/2023,After,231000039734,2A,14,59,31,30,32,66,Gravel,CG2,NA,NA,NA,NA,
50109,2804625.77,1266564.67,7455.93,PITRCK,Deploy 2023,4/24/2023,After,228000607558,2A,23,88,73,38,64,444,Gravel,VCG2,NA,NA,NA,NA,
50110,2804626.16,1266560.01,7455.92,PITRCK,Deploy 2023,4/24/2023,After,231000039756,2A,14,51,31,27,32,59,Gravel,CG2,NA,NA,NA,NA,
50111,2804626.52,1266555.15,7456.49,PITRCK,Deploy 2023,4/24/2023,After,230000111645,2A,32,134,101,91,128,2037,Cobble,SC2,NA,NA,NA,NA,
50112,2804604.72,1266552.47,7456.23,PITRCK,Deploy 2023,4/24/2023,After,228000607564,2A,23,108,64,45,64,477,Gravel,VCG2,NA,NA,NA,NA,
50113,2804604.37,1266557.22,7455.55,PITRCK,Deploy 2023,4/24/2023,After,226001370280,2A,12,41,24,20,32,52,Gravel,CG2,NA,NA,NA,NA,
50114,2804603.77,1266563.61,7455.54,PITRCK,Deploy 2023,4/24/2023,After,230000111719,2A,32,165,110,61,128,1712,Cobble,SC2,NA,NA,NA,NA,
50115,2804602.82,1266569.19,7455.35,PITRCK,Deploy 2023,4/24/2023,After,226001370272,2A,12,40,24,19,32,71.5,Gravel,CG2,NA,NA,NA,NA,
50116,2804602.25,1266574.9,7455.54,PITRCK,Deploy 2023,4/24/2023,After,228000607506,2A,23,87,72,35,64,423,Gravel,VCG2,NA,NA,NA,NA,
50117,2804601.48,1266580.29,7454.93,PITRCK,Deploy 2023,4/24/2023,After,230000111694,2A,32,150,109,88,128,1738,Cobble,SC2,NA,NA,NA,NA,
50118,2804600.27,1266587.08,7454.81,PITRCK,Deploy 2023,4/24/2023,After,230000111729,2A,32,346,280,115,>256,21300,Boulder,SB1,NA,NA,NA,NA,
